recordTimestamp,attitude_roll,attitude_pitch,attitude_yaw,altitude_pressure,relativeAltitude,rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z
1661165238.8797462,-0.04374406199869172,0.293412074772981,0.6217718425968141,0.0,0.0,0.0006798654794692993,-0.09593473374843597,-0.062384236603975296,0.02466457337141037,-0.02787265181541443,-0.025144219398498535
1661165238.8996792,-0.04396989347042016,0.29408329289304497,0.6198805698589374,0.0,0.0,0.05759016424417496,0.04791117459535599,-0.1245691105723381,-0.00024396926164627075,-0.019524484872817993,-0.001239001750946045
1661165238.9196122,-0.039951177917447164,0.2958779805034388,0.6168632162527582,0.0,0.0,0.10710389912128448,0.24678264558315277,-0.16400223970413208,0.01685798168182373,-0.002228081226348877,0.0021546483039855957
1661165238.9395452,-0.03372319741315781,0.2983756687837614,0.6136073761484124,0.0,0.0,0.12575969099998474,0.25409480929374695,-0.1538316160440445,0.03813222050666809,-0.0018082261085510254,-0.010029733180999756
1661165238.9594781,-0.02894483819171337,0.30102595160869783,0.6107340270556476,0.0,0.0,0.13473796844482422,0.10221360623836517,-0.13314969837665558,0.02335171401500702,-0.007698953151702881,-0.02759075164794922
1661165238.979412,-0.02941183381528707,0.3040890838768705,0.6080536506515466,0.0,0.0,0.16399921476840973,-0.22884924709796906,-0.13709445297718048,0.01350151002407074,-0.006865411996841431,-0.030835449695587158
1661165238.999345,-0.03556836141857314,0.30781133123629273,0.6048961714689808,0.0,0.0,0.2004193365573883,-0.48006191849708557,-0.17597605288028717,-0.003357209265232086,-0.006215155124664307,-0.017086267471313477
1661165239.019278,-0.04638212357166822,0.3125262534123897,0.6006147443908123,0.0,0.0,0.26720839738845825,-0.7218024134635925,-0.26381269097328186,-0.03789641708135605,-0.013108313083648682,-0.012796640396118164
1661165239.039211,-0.05942424881864475,0.3190086803046647,0.5943483686774985,0.0,0.0,0.34490880370140076,-0.7449597716331482,-0.3563016355037689,-0.07123158127069473,-0.0309179425239563,0.006205081939697266
1661165239.059144,-0.07087853936883373,0.32635353965691877,0.5868058894077144,0.0,0.0,0.3321077227592468,-0.62837153673172,-0.3977581262588501,-0.07871648669242859,-0.03802075982093811,0.04661548137664795
1661165239.079077,-0.07949619250506458,0.3328028866095342,0.5792266546594457,0.0,0.0,0.2539009749889374,-0.5007187128067017,-0.3552297353744507,-0.07908910512924194,-0.05161768198013306,0.055350422859191895
1661165239.0990102,-0.08701212983859652,0.33704574049744357,0.5728859348972054,0.0,0.0,0.10879728943109512,-0.47079503536224365,-0.2771208882331848,-0.07481691986322403,-0.05298161506652832,0.04812139272689819
1661165239.1189442,-0.09487871257579406,0.3379673286891326,0.5676924837300235,0.0,0.0,-0.05772058293223381,-0.5041477084159851,-0.23322167992591858,-0.0821315124630928,-0.046313703060150146,0.02626931667327881
1661165239.1388772,-0.1035641129858402,0.3360455875128451,0.5621629864616303,0.0,0.0,-0.16791659593582153,-0.5427065491676331,-0.28073933720588684,-0.11428682506084442,-0.032303959131240845,-0.009997367858886719
1661165239.1588101,-0.11178766438648585,0.33342934408251074,0.554718131606208,0.0,0.0,-0.1530989557504654,-0.5241162180900574,-0.3935045301914215,-0.12733112275600433,-0.009613275527954102,-0.05021500587463379
1661165239.1787431,-0.1188073313855708,0.33218802959036486,0.5448610315301183,0.0,0.0,-0.07114458829164505,-0.4980716407299042,-0.5255492329597473,-0.12247931957244873,0.015321314334869385,-0.06539171934127808
1661165239.1986763,-0.12409282207508888,0.3332700942396905,0.5323759499034151,0.0,0.0,0.039688073098659515,-0.4417596459388733,-0.6632142066955566,-0.11641894280910492,0.031923264265060425,-0.06759899854660034
1661165239.2186093,-0.12774865589936593,0.3369998458756227,0.5174214430401206,0.0,0.0,0.1509680300951004,-0.42185017466545105,-0.7934859991073608,-0.11645904928445816,0.04493647813796997,-0.05392974615097046
1661165239.2385433,-0.13002516208766285,0.34303060502717697,0.4998055415433162,0.0,0.0,0.22772854566574097,-0.4043632447719574,-0.9452179670333862,-0.11869381368160248,0.06340882182121277,-0.024294018745422363
1661165239.2584763,-0.13120611511747068,0.35052586432783445,0.47874018550137976,0.0,0.0,0.25402283668518066,-0.43587344884872437,-1.125672698020935,-0.11780232936143875,0.08138322830200195,0.011915028095245361
1661165239.2784092,-0.13149938215260845,0.3586697121604432,0.45399536013719227,0.0,0.0,0.24912817776203156,-0.43693792819976807,-1.2832344770431519,-0.0922500267624855,0.08197078108787537,0.047131121158599854
1661165239.2983422,-0.1294624329650012,0.3671248504380089,0.42658142434535934,0.0,0.0,0.260716050863266,-0.3176298141479492,-1.3602350950241089,-0.04895063489675522,0.0669107735157013,0.07223498821258545
1661165239.3182752,-0.12366397330048548,0.3759251909174761,0.39839504618141736,0.0,0.0,0.28308117389678955,-0.11687631905078888,-1.3596290349960327,-0.01426243782043457,0.047019243240356445,0.0881650447845459
