rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z,relativeAltitude
0.102455,0.10221,-0.638771,-0.193441,0.298231,0.115838,0
-0.0476971,0.287877,-0.60452,-0.122778,0.300169,0.141531,0
-0.0229894,0.262778,-0.520157,-0.0902675,0.273523,0.159709,0
0.134639,0.187906,-0.445314,-0.0635347,0.232075,0.186883,0
0.253836,0.14997,-0.414462,-0.0638987,0.210728,0.247317,0
0.210427,0.129699,-0.44303,-0.0708438,0.188486,0.316934,0
0.0472689,0.146567,-0.490042,-0.051953,0.15756,0.377049,0
-0.13525,0.140604,-0.513676,-0.0349235,0.132768,0.406382,0
-0.256037,0.0786171,-0.513285,-0.0116652,0.116248,0.407025,0
-0.283722,-0.00539643,-0.468597,0.00700033,0.0915915,0.377071,0
-0.257522,-0.0545911,-0.426768,0.00860612,0.0550104,0.334716,0
-0.265933,-0.0682261,-0.416299,0.0174748,0.00573725,0.285659,0
-0.38908,0.0459381,-0.440251,0.05268,-0.0561005,0.235569,0
-0.559078,0.285411,-0.477468,0.0788324,-0.122079,0.176408,0
-0.594926,0.389485,-0.47376,0.112043,-0.162436,0.0886307,0
-0.447853,0.347002,-0.391163,0.154437,-0.181394,0.00207037,0
-0.184648,0.292381,-0.27023,0.194512,-0.214068,-0.0770982,0
-0.0400088,0.257721,-0.271632,0.22064,-0.251126,-0.0994837,0
-0.145251,0.206714,-0.344467,0.233895,-0.272094,-0.138654,0
-0.326965,0.335306,-0.42449,0.255531,-0.285071,-0.240609,0
-0.270515,0.532175,-0.395219,0.302796,-0.262301,-0.377461,0
0.0271791,0.723108,-0.212465,0.342363,-0.21393,-0.458146,0
0.187115,0.908664,-0.0687663,0.3251,-0.180614,-0.422356,0
0.0826863,0.85937,-0.0359056,0.306989,-0.173626,-0.335641,0
-0.124256,0.459557,-0.0286626,0.2609,-0.107132,-0.321728,0
-0.161884,0.223639,0.0626782,0.206736,-0.0193754,-0.419095,0
0.0422175,0.180594,0.311495,0.176512,0.0496103,-0.49539,0
0.492543,0.363343,0.637203,0.135246,0.0909249,-0.51138,0
0.927325,0.528968,0.890246,0.0737249,0.109646,-0.412114,0
1.11093,0.474374,1.01021,8.84384e-05,0.0976318,-0.250459,0
1.06829,0.398833,0.900561,-0.10572,0.0869672,-0.14897,0
0.96918,0.414964,0.654708,-0.177691,0.106942,-0.104991,0
0.925773,0.437365,0.4302,-0.177745,0.15379,-0.0664079,0
0.960356,0.414531,0.335611,-0.132744,0.211272,-0.0217986,0
1.03438,0.344069,0.406332,-0.0976994,0.267201,0.0405349,0
1.11158,0.285174,0.522521,-0.103433,0.31189,0.128459,0
1.13452,0.202936,0.562296,-0.118226,0.313901,0.227572,0
1.05135,0.162029,0.48221,-0.128778,0.306162,0.314396,0
0.838978,0.218633,0.345041,-0.126939,0.300966,0.381963,0
0.549954,0.327888,0.18827,-0.111856,0.292171,0.420516,0
0.264356,0.403898,0.0543355,-0.0971996,0.291352,0.426597,0
0.0935309,0.365547,-0.0300692,-0.0778004,0.301889,0.404006,0
0.0308784,0.252047,-0.0440486,-0.0417522,0.318809,0.379513,0
-0.0328606,0.139471,-0.0311055,-0.0193534,0.328024,0.369156,0
-0.193894,0.110627,-0.0327154,-0.00290865,0.327804,0.373756,0
-0.419433,0.0702767,-0.0235333,0.0181201,0.323206,0.365052,0
-0.631453,-0.0219099,-0.032984,0.0416502,0.316538,0.332418,0
-0.8123,-0.165802,0.0185283,0.0705124,0.315668,0.278055,0
-0.985924,-0.307928,0.194883,0.0969835,0.311504,0.207117,0
-1.07509,-0.324871,0.405604,0.0890073,0.273842,0.0999507,0
-1.03716,-0.197223,0.591806,0.0569965,0.213089,0.00803769,0
-1.03716,-0.197223,0.591806,0.0569965,0.213089,0.00803769,0.0132141
-0.939798,-0.0756688,0.706151,0.013492,0.118337,-0.045453,0.0132141
-0.813208,-0.0432017,0.708706,-0.0356919,0.0145351,-0.0684213,0.0132141
-0.749286,-0.10238,0.652349,-0.0680151,-0.0655323,-0.075866,0.0132141
-0.785741,-0.141983,0.598949,-0.0833808,-0.130531,-0.104312,0.0132141
-0.819948,-0.0901298,0.530369,-0.0896257,-0.202297,-0.171847,0.0132141
-0.856388,-0.118841,0.329621,-0.107134,-0.241353,-0.245245,0.0132141
-1.08667,-0.393674,0.00820708,-0.0908155,-0.250618,-0.285193,0.0132141
-1.34188,-0.898894,-0.181314,0.0100702,-0.259926,-0.396868,0.0132141
-1.15423,-1.2577,-0.104014,0.0748693,-0.194053,-0.635022,0.0132141
-0.632415,-1.15505,0.235218,0.0795409,-0.126416,-0.798759,0.0132141
-0.122059,-0.68748,0.542037,-0.0129405,-0.124453,-0.798902,0.0132141
0.00384896,-0.455545,0.51521,-0.106485,-0.22127,-0.623883,0.0132141
-0.0928939,-0.459748,0.205144,-0.196328,-0.28917,-0.494902,0.0132141
-0.0796757,-0.400195,-0.168031,-0.255531,-0.255747,-0.467014,0.0132141
0.17038,-0.138958,-0.47236,-0.244629,-0.16345,-0.423487,0.0132141
0.503088,0.114664,-0.585695,-0.154091,-0.071689,-0.28736,0.0132141
