rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z,relativeAltitude
-0.625533,-0.573036,-0.336212,0.0594701,0.00931394,0.0989943,0
-0.365718,-0.609084,-0.296197,0.0116479,-0.0183008,0.00536412,0
-0.280758,-0.40557,-0.335184,-0.0201863,-0.0552268,-0.0244951,0
-0.343577,-0.187444,-0.319821,0.0101766,-0.0752025,0.00249738,0
-0.381002,0.00403155,-0.247738,0.0438785,-0.0812483,0.0037691,0
-0.350418,0.1,-0.198115,0.0324797,-0.100915,-0.0227188,0
-0.308855,0.0363916,-0.158699,0.0437797,-0.126369,-0.0257971,0
-0.196986,0.0747461,-0.148336,0.0215379,-0.142215,-0.074412,0
-0.122123,0.0678486,-0.154651,0.00564589,-0.147961,-0.105812,0
-0.080479,-0.00911548,-0.0766517,0.0408652,-0.132816,-0.13439,0
-0.0276438,-0.0117125,-0.00499732,0.0510697,-0.123957,-0.203944,0
-0.0442092,0.063958,0.0572427,0.0668261,-0.132104,-0.263234,0
-0.122974,0.124582,0.129758,0.0664847,-0.13697,-0.293988,0
-0.115587,0.27642,0.114194,0.0314841,-0.148148,-0.370425,0
-0.116285,0.304085,0.0474197,6.64741e-05,-0.163542,-0.387645,0
-0.187361,0.239464,-0.0116311,0.0292784,-0.17594,-0.369235,0
-0.337531,0.204735,-0.101296,0.00317661,-0.154636,-0.378494,0
-0.453246,0.196629,-0.133359,0.018126,-0.120318,-0.415457,0
-0.389139,0.282392,-0.0729938,0.0601558,-0.0627702,-0.460993,0
-0.147716,0.395544,0.0864257,0.0956886,-0.00517681,-0.458533,0
0.214486,0.468479,0.300901,0.118952,0.0319392,-0.368176,0
0.556995,0.469629,0.488273,0.120592,0.059334,-0.213307,0
0.708239,0.339662,0.606185,0.114514,0.0644344,-0.020285,0
0.671289,0.0950543,0.670755,0.114364,0.058439,0.123268,0
0.553443,-0.172509,0.65767,0.10299,0.0457391,0.162279,0
0.448844,-0.314215,0.609747,0.0827981,0.0563453,0.112684,0
0.393194,-0.35015,0.587294,0.0777557,0.101057,0.0438346,0
0.400929,-0.283487,0.517385,0.0419404,0.145469,-0.00818962,0
0.423216,-0.088448,0.411723,0.0146756,0.171164,-0.0126056,0
0.495358,0.209695,0.374907,0.024245,0.194976,0.0240061,0
0.576717,0.397913,0.402036,0.0506964,0.228995,0.133989,0
0.647151,0.447847,0.47162,0.0773701,0.238369,0.26001,0
0.683376,0.403615,0.514105,0.0785709,0.232332,0.357954,0
0.652996,0.291161,0.547453,0.0845582,0.229146,0.432868,0
0.542243,0.131035,0.567449,0.0827406,0.224268,0.475334,0
0.370476,-0.0397014,0.575358,0.0901089,0.207008,0.477977,0
0.169486,-0.167104,0.544754,0.0819368,0.18883,0.441429,0
-0.03511,-0.229239,0.459448,0.0625584,0.168079,0.369999,0
-0.202231,-0.286798,0.416754,0.0865362,0.143845,0.264372,0
-0.318591,-0.298532,0.421163,0.0802999,0.151616,0.151768,0
-0.479322,-0.35439,0.401215,0.0570948,0.149347,0.062772,0
-0.651439,-0.356809,0.355366,0.043377,0.101918,-0.067454,0
-0.773796,-0.249805,0.244245,-0.0129711,0.0751777,-0.210171,0
-0.841256,-0.0734711,0.142754,-0.0279607,0.0582062,-0.330035,0
-0.855433,0.0990317,0.140018,-0.0116298,0.0530367,-0.409946,0
-0.790268,0.114337,0.181845,-0.0101907,0.0459235,-0.453407,0
-0.60541,0.0210594,0.251813,-0.0295684,0.0204338,-0.494071,0
-0.3862,-0.0881681,0.257706,-0.0778713,-0.000607967,-0.496526,0
-0.270301,-0.108936,0.187462,-0.141158,-0.0276035,-0.452345,0
-0.351982,-0.153613,0.0407385,-0.214445,-0.0330341,-0.369987,0
-0.526763,-0.226582,-0.187523,-0.265119,-0.051517,-0.31695,0
-0.614101,-0.16786,-0.425968,-0.275748,-0.0528281,-0.326695,0
-0.614101,-0.16786,-0.425968,-0.275748,-0.0528281,-0.326695,0
-0.430081,0.128484,-0.535914,-0.259382,-0.0153558,-0.381313,0
-0.0584542,0.46262,-0.520051,-0.23956,0.0427079,-0.325981,0
0.252294,0.504017,-0.491332,-0.227172,0.0577982,-0.144196,0
0.436909,0.218511,-0.496451,-0.242645,0.063754,0.0464213,0
0.459472,-0.205217,-0.60026,-0.272717,0.0645776,0.18716,0
0.38332,-0.477315,-0.756374,-0.283484,0.0549624,0.245039,0
0.309067,-0.449065,-0.888017,-0.265253,0.0846353,0.254397,0
0.246469,-0.23615,-0.96858,-0.216206,0.114354,0.278694,0
0.175543,-0.0508098,-1.01148,-0.165981,0.1229,0.345981,0
0.0919713,-0.0231232,-1.02478,-0.129774,0.116182,0.426702,0
0.0618832,-0.185768,-1.03863,-0.0952212,0.0997169,0.472918,0
0.097181,-0.333398,-1.03201,-0.0568166,0.0915068,0.47168,0
0.129173,-0.328462,-0.968808,-0.0235146,0.10341,0.461002,0
0.104715,-0.311514,-0.909357,-0.0126515,0.104916,0.457106,0
0.0267332,-0.299015,-0.884813,0.00191583,0.0953389,0.441845,0
-0.0685616,-0.421135,-0.80568,0.0485251,0.085123,0.401872,0
-0.169522,-0.676223,-0.644416,0.111089,0.0887871,0.339796,0
-0.298814,-0.885401,-0.531356,0.119887,0.0613045,0.241492,0
-0.47801,-0.986787,-0.530241,0.0954097,0.0008021,0.116412,0
-0.666859,-0.966277,-0.616879,0.0655354,-0.0603885,-0.0347771,0
-0.797691,-0.748106,-0.712319,0.06621,-0.102882,-0.211565,0
-0.899703,-0.356173,-0.666695,0.109498,-0.0911334,-0.354651,0
-0.905402,-0.0819767,-0.465281,0.17699,-0.0894348,-0.450191,0
-0.706252,-0.0275115,-0.231288,0.223761,-0.115104,-0.545393,0
-0.387096,-0.0355007,-0.00924109,0.229462,-0.144587,-0.620132,0
-0.11079,0.166641,0.199181,0.196298,-0.162944,-0.656547,0
0.0511064,0.423952,0.375642,0.173222,-0.184729,-0.613801,0
0.119943,0.58186,0.458462,0.135775,-0.206306,-0.527662,0
0.171019,0.604724,0.439076,0.0998167,-0.223946,-0.459596,0
0.293443,0.516338,0.423285,0.0967362,-0.206351,-0.420249,0
0.514151,0.493158,0.492301,0.104377,-0.140063,-0.39153,0
0.785239,0.616237,0.638351,0.115815,-0.0590847,-0.321077,0
1.01196,0.77704,0.796351,0.109934,-0.00716528,-0.183814,0
1.08138,0.770602,0.875859,0.0810986,0.0190288,-0.00257409,0
0.965945,0.574063,0.871145,0.0486689,0.0201679,0.150057,0
0.815812,0.291478,0.84857,0.0469573,0.0197103,0.207253,0
0.764765,0.14352,0.812422,0.0413063,0.0499141,0.17266,0
0.786932,0.130235,0.765242,0.0309323,0.0867771,0.132558,0
