rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z,relativeAltitude,altitude_pressure
-0.126848,-0.465452,-0.215431,0.0918563,0.0191271,0.17917,-0.0449219,0.000526428
-0.320106,-0.392797,-0.212665,0.0940541,0.0230823,0.105963,-0.0449219,0.000526428
-0.378098,-0.325784,-0.171643,0.0975076,0.0354402,0.0164115,-0.0449219,0.000526428
-0.222043,-0.232486,-0.0500325,0.115212,0.0493842,-0.0650346,-0.0449219,0.000526428
0.174237,-0.000654533,0.14808,0.139618,0.0675648,-0.113938,-0.0449219,0.000526428
0.566598,0.209707,0.381054,0.143899,0.0890536,-0.0494785,-0.0449219,0.000526428
0.748534,0.275221,0.562771,0.131165,0.0831953,0.126482,-0.0449219,0.000526428
0.77469,0.22086,0.647535,0.0934085,0.0671391,0.265926,-0.0449219,0.000526428
0.685528,0.0654706,0.641689,0.0620725,0.0482986,0.358204,-0.0449219,0.000526428
0.556055,-0.00864474,0.608246,0.0488146,0.0355531,0.372911,-0.0449219,0.000526428
0.473446,-0.0693734,0.636965,0.0727436,0.037584,0.351766,-0.0449219,0.000526428
0.363473,0.128658,0.654646,0.0635348,0.0381637,0.284302,-0.0449219,0.000526428
0.175765,0.389528,0.636317,0.0184598,0.0163723,0.215216,-0.0449219,0.000526428
-0.118617,0.403801,0.457598,-0.0616327,-0.0510074,0.136326,-0.0449219,0.000526428
-0.308923,0.201834,0.264012,-0.0505204,-0.137026,0.00310552,-0.0449219,0.000526428
-0.24897,-0.144616,0.112362,-0.024006,-0.140308,-0.158821,-0.0449219,0.000526428
-0.0472436,-0.376677,0.0891217,0.00661688,-0.0728077,-0.293035,-0.0449219,0.000526428
-0.0158961,-0.265856,0.14532,-0.0003778,-0.00875953,-0.364857,-0.0449219,0.000526428
-0.304078,-0.146117,0.142579,-0.05568,0.0224923,-0.353454,-0.0449219,0.000526428
-0.725805,-0.232521,-0.00788036,-0.124335,0.00380319,-0.355501,-0.0449219,0.000526428
-0.857343,-0.0975522,-0.0995559,-0.141387,0.0207252,-0.466625,-0.0449219,0.000526428
-0.640322,0.340722,0.00592003,-0.103547,0.0796835,-0.559123,-0.0449219,0.000526428
-0.287773,0.690901,0.289522,-0.0561973,0.123825,-0.501664,-0.0449219,0.000526428
-0.0804621,0.603934,0.520405,-0.0438855,0.0779778,-0.283244,-0.0449219,0.000526428
-0.0181594,0.278921,0.593198,-0.101269,0.00649405,-0.0916879,-0.0449219,0.000526428
-0.0460266,0.00531466,0.485707,-0.175096,-0.075269,0.0121028,-0.0449219,0.000526428
-0.106877,-0.0324924,0.250941,-0.228636,-0.127521,0.0393173,-0.0449219,0.000526428
-0.205497,0.101959,0.0241031,-0.224654,-0.137775,0.0621748,-0.0449219,0.000526428
-0.258204,0.297749,-0.119625,-0.185319,-0.1135,0.0892438,-0.0449219,0.000526428
-0.223666,0.428786,-0.143931,-0.122668,-0.0774054,0.125533,-0.0449219,0.000526428
-0.119994,0.420772,-0.0655698,-0.065445,-0.0411503,0.163929,-0.0449219,0.000526428
0.0558751,0.416878,0.050531,-0.0355013,-0.0220363,0.192409,-0.0449219,0.000526428
0.273442,0.448072,0.15872,-0.0391942,-0.0067226,0.215707,-0.0449219,0.000526428
0.440192,0.455533,0.254912,-0.0397827,0.00602084,0.259961,-0.0449219,0.000526428
0.482624,0.389157,0.361336,-0.0274295,-0.00114839,0.305806,-0.0449219,0.000526428
0.489067,0.230326,0.498052,-0.0193521,0.00647852,0.319298,-0.0449219,0.000526428
0.53974,0.0691099,0.573691,-0.0506271,0.0295,0.291295,-0.0449219,0.000526428
0.681009,-0.0990627,0.5247,-0.128705,0.0546485,0.236132,-0.0449219,0.000526428
0.845456,-0.29004,0.358168,-0.179135,0.0589328,0.185898,-0.0449219,0.000526428
0.923904,-0.372003,0.232924,-0.164722,0.0879482,0.16136,-0.0449219,0.000526428
0.859301,-0.326589,0.123331,-0.142552,0.10896,0.126225,-0.0449219,0.000526428
0.674871,-0.0222102,-0.00688074,-0.122837,0.0771918,0.0463467,-0.0449219,0.000526428
0.674871,-0.0222102,-0.00688074,-0.122837,0.0771918,0.0463467,-0.0449066,0.000526428
0.384845,0.206559,-0.192281,-0.0919577,0.0204673,-0.0342473,-0.0449066,0.000526428
0.145906,0.217675,-0.527727,-0.067787,-0.0628106,-0.092869,-0.0449066,0.000526428
0.00777572,0.0062824,-0.801405,-0.00936155,-0.0926394,-0.155715,-0.0449066,0.000526428
-0.0954142,-0.0648064,-1.00375,-0.0166989,0.000711441,-0.238122,-0.0449066,0.000526428
-0.431318,-0.100835,-1.09453,0.0342262,0.0699089,-0.238142,-0.0449066,0.000526428
-0.873103,-0.304218,-0.897184,0.152339,0.0990245,-0.23659,-0.0449066,0.000526428
-1.02044,-0.764906,-0.55838,0.175711,0.156752,-0.312871,-0.0449066,0.000526428
-0.838302,-1.03247,-0.200794,0.161497,0.18084,-0.444872,-0.0449066,0.000526428
-0.57096,-0.780581,0.131011,0.151827,0.13554,-0.522439,-0.0449066,0.000526428
-0.32682,-0.47732,0.3751,0.138722,0.0694825,-0.451676,-0.0449066,0.000526428
-0.301946,-0.424543,0.481187,0.11774,0.0138131,-0.233486,-0.0449066,0.000526428
-0.407868,-0.339491,0.478407,0.0889643,-0.0570941,-0.0718978,-0.0449066,0.000526428
-0.514854,-0.205398,0.210547,-0.00225121,-0.105189,0.00456643,-0.0449066,0.000526428
-0.562269,0.028238,-0.175614,-0.0403083,-0.146202,0.0263949,-0.0449066,0.000526428
-0.54635,0.417974,-0.414173,-0.0144346,-0.105875,0.0370988,-0.0449066,0.000526428
-0.451697,0.611423,-0.434705,0.0458544,-0.0423945,0.0793964,-0.0449066,0.000526428
-0.27737,0.480776,-0.355386,0.107884,-0.0367703,0.128186,-0.0449066,0.000526428
-0.0742538,0.133463,-0.247454,0.131985,-0.0557474,0.157457,-0.0449066,0.000526428
0.100169,-0.13585,-0.185167,0.0997281,-0.0740045,0.137764,-0.0449066,0.000526428
0.161318,-0.234032,-0.156194,0.0708131,-0.0824613,0.0981336,-0.0449066,0.000526428
0.135535,-0.185273,-0.116646,0.0561605,-0.0775782,0.051138,-0.0449066,0.000526428
0.135712,-0.0497703,-0.100646,0.0377613,-0.0715153,0.00266701,-0.0449066,0.000526428
0.183166,0.0223356,-0.115417,0.0229187,-0.0701036,-0.0229622,-0.0449066,0.000526428
0.250198,-0.000122257,-0.142805,0.0380028,-0.0718679,-0.0192823,-0.0449066,0.000526428
0.266203,0.00105167,-0.199834,0.0501625,-0.0707464,-0.0075562,-0.0449066,0.000526428
0.197137,0.0733612,-0.232156,0.0644126,-0.0440694,0.0240283,-0.0449066,0.000526428
0.137048,3.88667e-05,-0.188366,0.0864289,0.000291631,0.059815,-0.0449066,0.000526428
0.268913,-0.15844,-0.0799784,0.118968,0.0370601,0.0465063,-0.0449066,0.000526428
0.532962,-0.101855,0.0112048,0.126493,0.0735662,0.0281856,-0.0449066,0.000526428
0.667988,0.0958735,0.117897,0.116914,0.116179,0.103053,-0.0449066,0.000526428
0.678674,0.310019,0.252742,0.115304,0.143227,0.228008,-0.0449066,0.000526428
0.700685,0.406962,0.33777,0.0847438,0.165722,0.328999,-0.0449066,0.000526428
0.68464,0.371595,0.379585,0.0508358,0.1776,0.411351,-0.0449066,0.000526428
0.578107,0.198271,0.419509,0.0447743,0.174425,0.476548,-0.0449066,0.000526428
0.447321,-0.0338308,0.463687,0.0478914,0.144023,0.478121,-0.0449066,0.000526428
0.336495,-0.129538,0.475876,0.0382548,0.109601,0.395718,-0.0449066,0.000526428
0.236461,-0.0575867,0.405154,0.00847068,0.0708846,0.272796,-0.0449066,0.000526428
-0.203097,0.00522837,0.25438,0.0131988,-0.016669,0.201302,-0.0449066,0.000526428
-0.775837,0.00627079,0.149277,0.023596,-0.114877,0.0675879,-0.0449066,0.000526428
-0.978814,-0.359355,0.0575755,-0.0187829,-0.101356,-0.190341,-0.0449066,0.000526428
-0.707204,-0.647346,-0.068783,-0.0509103,-0.0672272,-0.493981,-0.0449066,0.000526428
-0.358504,-0.441486,-0.183619,-0.0775895,-0.0276122,-0.701131,-0.0449066,0.000526428
-0.323271,0.0426025,-0.167529,-0.0580079,0.0254435,-0.718336,-0.0449066,0.000526428
-0.490987,0.458261,0.00960623,0.00966752,0.0415908,-0.632274,-0.0449066,0.000526428
-0.489835,0.601251,0.327025,0.0546055,0.0643657,-0.541801,-0.0449066,0.000526428
-0.272261,0.618192,0.56659,0.0162759,0.0573108,-0.459664,-0.0449066,0.000526428
-0.0753519,0.477215,0.653951,-0.0669,-0.012472,-0.324697,-0.0449066,0.000526428
0.0056122,0.27234,0.652055,-0.121042,-0.0812624,-0.165169,-0.0449066,0.000526428
0.000269303,0.181246,0.533539,-0.177454,-0.130847,-0.0363382,-0.0449066,0.000526428
-0.0821631,0.174171,0.337902,-0.21894,-0.150968,0.0760903,-0.0449066,0.000526428
-0.221864,0.163292,0.166944,-0.207199,-0.149413,0.171712,-0.0449066,0.000526428
-0.221864,0.163292,0.166944,-0.207199,-0.149413,0.171712,-0.129486,0.00154114
-0.299631,0.149563,0.0400351,-0.165985,-0.134494,0.227261,-0.129486,0.00154114
-0.27817,0.104644,-0.0072049,-0.115642,-0.0913601,0.254616,-0.129486,0.00154114
-0.169798,0.0625578,0.0581762,-0.0515216,-0.0535983,0.274285,-0.129486,0.00154114
-0.00887251,0.00145103,0.193367,-0.0116771,-0.0166832,0.297903,-0.129486,0.00154114
0.153497,-0.0290457,0.32972,-0.00718027,0.00819905,0.318533,-0.129486,0.00154114
0.244879,-0.000919216,0.398803,-0.0265544,0.0148736,0.341952,-0.129486,0.00154114
0.228047,0.0975363,0.403146,-0.0634936,0.0122527,0.360456,-0.129486,0.00154114
0.183545,0.126067,0.380542,-0.0860935,0.00814247,0.363097,-0.129486,0.00154114
0.20303,0.0505033,0.362523,-0.084721,0.0123011,0.335214,-0.129486,0.00154114
0.290886,-0.012557,0.308214,-0.125753,0.0312868,0.26788,-0.129486,0.00154114
0.405034,-0.0544344,0.1624,-0.179303,0.0372591,0.203523,-0.129486,0.00154114
0.545614,-0.230492,0.0348929,-0.190973,0.0460976,0.161554,-0.129486,0.00154114
0.70085,-0.373526,-0.0812914,-0.164327,0.0604236,0.105127,-0.129486,0.00154114
0.720447,-0.250499,-0.198394,-0.119238,0.0551062,0.0707756,-0.129486,0.00154114
0.488415,-0.0641589,-0.418615,-0.110586,0.00253394,0.0392529,-0.129486,0.00154114
