rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z,relativeAltitude
-0.220583,-0.240377,-0.393802,0.032094,-0.107552,-0.0265347,1.84435
-0.0601868,-0.499352,-0.284851,0.0736215,-0.091609,-0.0985465,1.84435
0.0468406,-0.402994,-0.209694,0.0387173,-0.0750445,-0.207472,1.84435
0.131761,-0.160164,-0.170546,0.030506,-0.0680372,-0.287042,1.84435
0.14886,0.0263481,-0.0774194,0.0761565,-0.0631997,-0.308693,1.84435
0.0949669,0.144338,0.0424201,0.121157,-0.0564814,-0.289778,1.84435
0.0227,0.255523,0.161451,0.143309,-0.0546777,-0.282044,1.84435
-0.13726,0.207003,0.214278,0.127716,-0.0697795,-0.25166,1.84435
-0.351441,-0.0772764,0.168248,0.108636,-0.0925005,-0.231428,1.84435
-0.445159,-0.428434,0.114101,0.119156,-0.0916462,-0.297839,1.84435
-0.332185,-0.535025,0.18902,0.169818,-0.0329072,-0.418243,1.84435
-0.115698,-0.294113,0.434692,0.209686,0.0334308,-0.479141,1.84435
0.157617,0.0753682,0.785309,0.219411,0.0823463,-0.43951,1.84435
0.488582,0.411233,1.07704,0.196322,0.0859065,-0.323258,1.84435
0.731918,0.524534,1.23627,0.155456,0.0739508,-0.112608,1.84435
0.782977,0.472158,1.24456,0.1027,0.0561008,0.0912329,1.84435
0.656414,0.249114,1.17286,0.0732816,0.0353654,0.244875,1.84435
0.433199,-0.0870215,1.04969,0.0774509,0.0140854,0.320732,1.84435
0.234644,-0.289076,0.891364,0.100849,-0.00396712,0.288853,1.84435
0.102603,-0.251023,0.720557,0.082068,0.0113742,0.207,1.84435
0.0447487,-0.0311136,0.576176,0.0826767,0.0347921,0.130387,1.84435
0.0614127,0.192995,0.482438,0.0900443,0.0518848,0.0987739,1.84435
0.146743,0.271852,0.456095,0.104366,0.0750062,0.129744,1.84435
0.295359,0.29172,0.477809,0.110801,0.0926307,0.175737,1.84435
0.419035,0.357945,0.485854,0.0897722,0.106149,0.236363,1.84435
0.443256,0.463843,0.456205,0.0725544,0.115853,0.31813,1.84435
0.354132,0.59971,0.453734,0.0687996,0.12223,0.402347,1.84435
0.201192,0.739029,0.46712,0.0620352,0.12795,0.456174,1.84435
0.0240023,0.899506,0.459008,0.0499769,0.119764,0.473001,1.84435
-0.156563,0.858476,0.440635,0.0482052,0.10508,0.472595,1.84435
-0.274794,0.509863,0.415569,0.0641778,0.0947864,0.41157,1.84435
-0.403456,-0.0767002,0.393858,0.0789641,0.106354,0.294063,1.84435
-0.613128,-0.578614,0.3608,0.075094,0.13428,0.10705,1.84435
-0.782501,-0.713642,0.346946,0.0400452,0.160914,-0.169124,1.84435
-0.87309,-0.60857,0.276826,-0.0400636,0.185634,-0.441719,1.84435
-0.938545,-0.384539,0.140555,-0.14817,0.209435,-0.621032,1.84435
-1.02769,-0.190806,-0.0215464,-0.209565,0.218493,-0.699642,1.84435
-1.06098,0.0253439,-0.116381,-0.20701,0.202651,-0.712075,1.84435
-0.941298,0.320529,-0.142669,-0.169992,0.165963,-0.684017,1.84435
-0.749561,0.649807,-0.140185,-0.151789,0.113709,-0.571205,1.84435
-0.618185,0.864913,-0.188582,-0.173126,0.0576628,-0.391148,1.84435
-0.584412,0.813239,-0.343193,-0.188467,-0.0216486,-0.19436,1.84435
-0.586668,0.393233,-0.608125,-0.177621,-0.103234,-0.0591099,1.84435
-0.496396,-0.266228,-0.833575,-0.116523,-0.155164,-0.0223863,1.84435
-0.189726,-0.615543,-0.901612,-0.0531951,-0.125682,-0.117028,1.84435
0.127747,-0.449621,-0.833837,-0.0598407,-0.0331476,-0.192637,1.84435
0.273378,-0.0543215,-0.760168,-0.0935139,0.030165,-0.170602,1.84435
0.306524,0.176623,-0.781203,-0.147408,0.0377406,-0.0981544,1.84435
0.325563,0.122368,-0.911528,-0.188715,0.0179203,-0.0214842,1.84435
0.380153,0.0354411,-1.05828,-0.224006,0.0269552,0.0163696,1.84435
0.444092,0.0362663,-1.15556,-0.23374,0.0629782,0.0549062,1.84435
0.520157,0.123954,-1.16805,-0.204928,0.0970187,0.116224,1.84435
0.543457,0.213368,-1.1129,-0.163104,0.111575,0.216656,1.84435
0.543457,0.213368,-1.1129,-0.163104,0.111575,0.216656,0
0.533089,0.225456,-1.01811,-0.132657,0.110728,0.327826,0
0.537671,0.103847,-0.929804,-0.122372,0.10354,0.417019,0
0.561358,-0.0687435,-0.883608,-0.113777,0.0871953,0.470508,0
0.558078,-0.207989,-0.911397,-0.124305,0.0813435,0.494282,0
0.494212,-0.308802,-0.977841,-0.130797,0.0868912,0.499077,0
0.368382,-0.39145,-1.0058,-0.0942491,0.10043,0.478713,0
0.20165,-0.477707,-0.982815,-0.0318228,0.116167,0.402473,0
-0.0363149,-0.506918,-0.926441,0.0470836,0.0910574,0.291195,0
-0.287144,-0.560068,-0.806741,0.126189,0.0364357,0.154449,0
-0.400675,-0.702215,-0.648183,0.175112,-0.0342596,-0.0188969,0
-0.362855,-0.800446,-0.501041,0.214066,-0.095186,-0.190119,0
-0.337576,-0.80091,-0.391306,0.237814,-0.14569,-0.309266,0
-0.30513,-0.588229,-0.294428,0.230503,-0.193233,-0.414372,0
-0.236442,-0.234013,-0.230356,0.204909,-0.224599,-0.471896,0
-0.129799,0.168506,-0.168433,0.220372,-0.25424,-0.46868,0
-0.0535333,0.599217,-0.0713158,0.249505,-0.269913,-0.410941,0
-0.0554117,0.989244,0.0445198,0.258866,-0.270691,-0.325069,0
-0.0760131,1.12907,0.179952,0.271193,-0.269235,-0.235581,0
-0.0161161,0.974346,0.290273,0.293665,-0.272493,-0.18999,0
0.0602201,0.613762,0.387315,0.312529,-0.256466,-0.145902,0
0.22717,0.398837,0.575302,0.350045,-0.206031,-0.152174,0
0.511712,0.461859,0.911756,0.374141,-0.105499,-0.164435,0
0.719805,0.61177,1.26476,0.367943,-0.0275346,-0.112619,0
0.690713,0.588801,1.47012,0.323455,-0.00674975,0.00169659,0
0.541925,0.341525,1.51409,0.268353,-0.0251611,0.071402,0
0.503752,0.0834055,1.37717,0.2092,-0.0483537,0.0114383,0
0.566926,0.0535567,1.1809,0.164743,-0.0306585,-0.080317,0
0.627066,0.312931,1.04029,0.145989,0.0221625,-0.129214,0
0.63181,0.700406,0.947559,0.113538,0.0775027,-0.10363,0
0.557145,0.9438,0.865602,0.0821109,0.118074,-0.00446701,0
0.487739,1.03646,0.779872,0.0564072,0.129628,0.105065,0
0.459913,1.0512,0.729801,0.0248919,0.148528,0.197167,0
0.494705,1.05382,0.761854,0.00511768,0.172169,0.269906,0
0.514875,1.02745,0.835845,-0.017169,0.202623,0.338072,0
0.45289,0.979955,0.868918,-0.0498194,0.224285,0.399816,0
0.347617,0.932109,0.867684,-0.0754846,0.240238,0.430417,0
0.209768,0.791283,0.864175,-0.0747092,0.252294,0.441478,0
0.0628017,0.562054,0.912859,-0.0433437,0.268762,0.409056,0
-0.0990102,0.176127,1.05887,-0.00571015,0.301188,0.343162,0
-0.192822,-0.205944,1.19897,-0.00843802,0.311024,0.195422,0
-0.382944,-0.58639,1.22195,-0.0399835,0.304931,0.0486369,0
-0.755239,-0.995809,1.13776,-0.0477144,0.262595,-0.0628486,0
-1.01663,-1.14483,0.949147,-0.0635885,0.188927,-0.255791,0
-1.01843,-0.98677,0.787473,-0.0745525,0.151404,-0.479886,0
-0.886012,-0.72043,0.743531,-0.0514582,0.147437,-0.599019,0
-0.710032,-0.404996,0.793321,-0.0354979,0.133672,-0.61422,0
-0.563985,-0.110379,0.767551,-0.0658493,0.113389,-0.549327,0
-0.521078,0.00949941,0.62961,-0.0954027,0.0544629,-0.410262,0
-0.557092,-0.0273054,0.42877,-0.112621,0.000720516,-0.286608,0
-0.52427,-0.114172,0.256963,-0.120086,-0.0307445,-0.231711,0
-0.52427,-0.114172,0.256963,-0.120086,-0.0307445,-0.231711,0.0977631
-0.312867,-0.0734444,0.124314,-0.136941,-0.0115752,-0.24402,0.0977631
-0.052447,0.0702155,0.0626253,-0.151842,0.0222526,-0.218599,0.0977631
0.0750469,0.092618,0.0288199,-0.173964,0.0593442,-0.103431,0.0977631
0.0605221,-0.0223826,-0.0420653,-0.207583,0.0743947,0.0118259,0.0977631
-0.0424704,-0.265529,-0.178284,-0.242726,0.0729115,0.0978076,0.0977631
-0.136865,-0.481189,-0.364068,-0.270775,0.0676116,0.121759,0.0977631
-0.168833,-0.502076,-0.558012,-0.280937,0.0752646,0.101772,0.0977631
-0.159601,-0.309148,-0.694645,-0.274122,0.10345,0.0900396,0.0977631
-0.133295,-0.0756752,-0.750511,-0.240708,0.119478,0.116541,0.0977631
-0.0787659,0.0265794,-0.775871,-0.194069,0.115261,0.174667,0.0977631
-0.00314681,-0.00560542,-0.806246,-0.167417,0.0974507,0.241455,0.0977631
0.10312,-0.0589733,-0.835305,-0.154565,0.0840976,0.291499,0.0977631
0.195508,-0.0816086,-0.841668,-0.150713,0.0891941,0.333608,0.0977631
0.227352,-0.095397,-0.827513,-0.139435,0.0955247,0.385944,0.0977631
0.220218,-0.137897,-0.814555,-0.12162,0.0887575,0.426446,0.0977631
0.207565,-0.209836,-0.804464,-0.118612,0.0865118,0.440335,0.0977631
0.212472,-0.398776,-0.834059,-0.115609,0.0580842,0.414957,0.0977631
0.237582,-0.642251,-0.838952,-0.0586004,0.00537322,0.342118,0.0977631
0.176237,-0.832088,-0.741084,0.050004,-0.0506434,0.264804,0.0977631
0.024107,-0.817347,-0.630652,0.150132,-0.150274,0.13305,0.0977631
-0.130589,-0.695348,-0.557885,0.232983,-0.280411,-0.0416957,0.0977631
-0.217112,-0.533951,-0.568376,0.289402,-0.393458,-0.216849,0.0977631
-0.322797,-0.395949,-0.631014,0.326873,-0.461854,-0.363932,0.0977631
-0.467427,-0.396138,-0.696759,0.37891,-0.50001,-0.477152,0.0977631
-0.432736,-0.47142,-0.676244,0.415707,-0.481156,-0.651665,0.0977631
-0.0101991,-0.182719,-0.476469,0.435511,-0.404329,-0.852829,0.0977631
0.630906,0.471033,-0.0217668,0.44336,-0.271057,-0.916178,0.0977631
1.13283,1.07336,0.495178,0.413731,-0.145771,-0.74082,0.0977631
1.34669,1.36673,0.815563,0.325742,-0.102581,-0.425644,0.0977631
1.35845,1.40076,0.957857,0.211217,-0.0945843,-0.140192,0.0977631
1.30929,1.14425,0.985808,0.115543,-0.0603821,0.0705106,0.0977631
1.28418,0.806059,0.916592,0.0712358,-0.0118787,0.184743,0.0977631
1.27597,0.661956,0.868613,0.0875192,0.0379202,0.220721,0.0977631
1.1681,0.779945,0.905246,0.106429,0.0911027,0.237333,0.0977631
0.890237,0.89559,0.991484,0.119688,0.135999,0.264726,0.0977631
0.663684,0.760519,1.08327,0.142047,0.14194,0.244494,0.0977631
0.558317,0.383054,1.06865,0.132024,0.142679,0.161028,0.0977631
0.48292,0.0791407,1.04042,0.150783,0.157758,0.0808377,0.0977631
0.428461,0.0776085,1.05692,0.17325,0.209431,0.00513113,0.0977631
0.356634,0.287687,1.11488,0.174572,0.277158,-0.0244344,0.0977631
0.264899,0.578166,1.17501,0.168989,0.313006,-0.0155935,0.0977631
0.158543,0.812443,1.20656,0.139377,0.339053,0.0294149,0.0977631
0.126599,0.964488,1.17003,0.0839507,0.349748,0.0750745,0.0977631
0.118702,1.04733,1.09869,0.0488794,0.353445,0.142712,0.0977631
0.0424955,1.06299,1.06633,0.0467916,0.380232,0.24699,0.0977631
-0.0855414,1.11603,1.06876,0.0381775,0.40843,0.326575,0.0977631
-0.243604,1.19681,1.10913,0.0306132,0.430031,0.379762,0.0977631
-0.460148,1.22104,1.21723,0.0262506,0.445446,0.437884,0.0977631
-0.682169,1.04981,1.38851,0.035401,0.44303,0.479886,0.0977631
-0.804478,0.791307,1.56919,0.0440337,0.406504,0.450762,0.0977631
-0.932523,0.531246,1.73273,0.0436497,0.358675,0.399189,0.0977631
-0.932523,0.531246,1.73273,0.0436497,0.358675,0.399189,0.195526
-1.14392,0.278677,1.91635,0.0298235,0.319184,0.33983,0.195526
-1.36774,-0.0295174,2.02265,0.0153514,0.232138,0.229617,0.195526
-1.55753,-0.327211,1.83939,-0.0522677,0.0947171,0.0418745,0.195526
-1.8224,-0.653132,1.39106,-0.149388,-0.0256948,-0.155881,0.195526
-2.00772,-0.830762,0.792169,-0.191098,-0.145081,-0.398985,0.195526
-1.95837,-0.711639,0.264507,-0.140517,-0.19525,-0.669904,0.195526
-1.72753,-0.170047,0.108658,-0.0348989,-0.163376,-0.860959,0.195526
-1.40011,0.439385,0.288873,0.0443066,-0.106951,-0.907968,0.195526
-1.15577,0.78398,0.437058,0.0280815,-0.12324,-0.786629,0.195526
-1.03768,0.803777,0.315147,-0.0353024,-0.232786,-0.588818,0.195526
-0.953836,0.68698,0.0172417,-0.078815,-0.312982,-0.430971,0.195526
-0.803438,0.639891,-0.154664,-0.0557879,-0.312015,-0.353719,0.195526
-0.501463,0.719128,-0.0636858,0.00891556,-0.230892,-0.328253,0.195526
-0.145959,0.840026,0.206416,0.0460075,-0.142779,-0.281774,0.195526
0.148955,0.7657,0.546844,0.0519,-0.0917795,-0.181181,0.195526
0.383352,0.339512,0.835374,0.0145888,-0.0775883,-0.0774412,0.195526
0.639994,-0.224425,0.96047,-0.0498719,-0.0780596,-0.0419593,0.195526
0.865651,-0.537079,0.845574,-0.15305,-0.0782747,-0.0671667,0.195526
0.977826,-0.569591,0.642777,-0.215682,-0.0486829,-0.0604965,0.195526
1.0266,-0.412822,0.428758,-0.215184,-0.0059998,-0.0192462,0.195526
1.02476,-0.154246,0.248219,-0.185986,0.0395126,0.0589789,0.195526
0.970767,0.0862328,0.125633,-0.162492,0.0867575,0.167441,0.195526
0.804802,0.251401,0.0562311,-0.144562,0.125984,0.310376,0.195526
0.656585,0.231842,0.0454991,-0.128966,0.15293,0.410569,0.195526
0.606952,0.0850137,-0.0367374,-0.125199,0.153721,0.438087,0.195526
0.552622,0.0212859,-0.204452,-0.12126,0.151135,0.45201,0.195526
0.343119,-0.012568,-0.344734,-0.111541,0.175701,0.469806,0.195526
0.163002,0.0543989,-0.342777,-0.0985768,0.142521,0.431076,0.195526
0.165636,0.0589006,-0.399639,-0.120674,0.159963,0.358013,0.195526
0.193881,-0.0368556,-0.427994,-0.13219,0.165222,0.337228,0.195526
-0.0338527,-0.00661556,-0.22678,-0.0476385,0.11589,0.398228,0.195526
-0.462409,-0.355029,0.00910105,0.0542289,0.104608,0.467008,0.195526
-0.551995,-0.742387,-0.115247,-0.0786301,0.146884,0.344449,0.195526
-0.6469,-0.858991,-0.184091,-0.0725126,0.107224,0.254102,0.195526
-0.786438,-1.23992,-0.159209,-0.00596263,0.0588002,0.220409,0.195526
-0.54361,-0.587688,-0.619783,-0.23648,-0.0906765,-0.104173,0.195526
-0.793021,-0.710935,-1.44779,-0.437451,-0.258791,-0.270208,0.195526
-0.624102,-0.576881,-1.25408,-0.0890391,-0.0924725,-0.0894385,0.195526
-0.642271,-0.533477,-0.531005,0.136386,0.0780954,0.0381145,0.195526
-0.318184,-0.72733,0.0460858,0.362005,-0.069131,-0.115391,0.195526
0.0602881,-1.11027,0.200355,0.196451,-0.188734,-0.12117,0.195526
0.0571066,-0.783076,0.232721,0.153901,-0.145818,-0.148758,0.195526
0.00229598,-0.865382,0.0824798,0.0747055,-0.130058,-0.207944,0.195526
0.127825,-0.703583,0.0099007,0.162747,-0.272483,-0.157725,0.195526
0.134932,-0.398286,-0.305771,0.04204,-0.184239,-0.139694,0.195526
0.0762639,-0.246073,-0.1617,0.135538,-0.163446,-0.127825,0.195526
0.260383,-0.35213,0.343001,0.289759,-0.342959,-0.274257,0.195526
-0.358403,-0.412724,0.293438,0.29393,-0.341773,-0.368589,0.195526
-1.32047,-1.10557,0.259402,0.151806,-0.412073,-0.071182,0.195526
-1.60677,-0.888594,0.484524,0.0953014,-0.233432,-0.13614,0.195526
-1.60677,-0.888594,0.484524,0.0953014,-0.233432,-0.13614,0.454483
-0.994966,-0.549552,0.857472,0.161411,-0.0437505,-0.281928,0.454483
-0.281196,-1.25952,0.61489,0.105019,-0.0714501,-0.599376,0.454483
0.336857,-1.06157,0.602091,0.186923,0.0939295,-0.528598,0.454483
0.995797,-1.12348,0.319316,-0.0435351,-0.0641783,-0.545813,0.454483
1.25868,-1.09563,0.219518,-0.0554539,-6.81281e-05,-0.331519,0.454483
1.24586,-1.16657,0.127448,-0.0484701,0.0201846,-0.15165,0.454483
1.18988,-0.969633,0.154626,-0.00922765,0.0124849,-0.0471464,0.454483
0.974356,-0.451098,0.295358,-0.03295,-0.0182194,0.0682504,0.454483
0.498813,0.0546149,0.375985,-0.154322,-0.0478726,0.15868,0.454483
0.0161283,0.10262,0.286943,-0.261995,-0.0498352,0.124872,0.454483
-0.090877,-0.00904915,0.0948517,-0.285578,0.00559217,-0.00516391,0.454483
0.113816,-0.0633099,-0.18591,-0.282332,0.0740083,-0.0852544,0.454483
0.390185,-0.0830634,-0.444556,-0.202646,0.113538,-0.101678,0.454483
0.758353,-0.334486,-0.519125,-0.069082,0.115959,-0.151913,0.454483
0.864412,-0.718992,-0.483507,0.0619332,0.141311,-0.103001,0.454483
0.531733,-1.1107,-0.502205,0.129797,0.174706,0.0246292,0.454483
0.156324,-1.474,-0.493782,0.16503,0.155974,0.0893332,0.454483
0.00617808,-1.51084,-0.511453,0.171515,0.109072,0.0757828,0.454483
0.0340889,-1.1882,-0.603765,0.184095,0.113192,0.0643536,0.454483
0.126488,-0.67764,-0.70264,0.206781,0.115989,0.0554718,0.454483
0.246992,-0.153618,-0.756328,0.205219,0.0895744,0.0179924,0.454483
