rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z,relativeAltitude,altitude_pressure
-0.0524994,0.137537,0.173974,0.0006404,-0.100146,0.0727708,0.001,0.0001
-0.0283639,0.156285,0.194881,0.00318274,-0.095084,0.0649632,0.001,0.0001
-0.0321889,0.11202,0.268896,0.00467829,-0.110605,0.0230178,0.001,0.0001
-0.0925743,0.131228,0.330329,0.0182721,-0.12217,0.00607735,0.001,0.0001
-0.135984,0.176885,0.417481,0.00612731,-0.118207,-0.0676427,0.001,0.0001
-0.168046,0.205999,0.519111,-0.00216585,-0.107583,-0.130294,0.001,0.0001
-0.104524,0.257929,0.674321,-0.00525387,-0.0829793,-0.224293,0.001,0.0001
0.0604358,0.373019,0.962633,-0.00573102,-0.0646878,-0.297512,0.001,0.0001
0.189784,0.361789,1.19813,0.00948428,-0.0676939,-0.363515,0.001,0.0001
0.258707,0.474842,1.36053,0.0233396,-0.0973878,-0.366425,0.001,0.0001
0.278246,0.503541,1.32413,0.0507758,-0.139255,-0.348223,0.001,0.0001
0.265782,0.257908,0.932971,0.0683032,-0.153418,-0.352167,0.001,0.0001
0.197973,0.0913899,0.351414,0.057941,-0.139887,-0.315491,0.001,0.0001
0.0775405,0.165609,-0.171117,0.041804,-0.0848338,-0.262307,0.001,0.0001
-0.0246037,0.46354,-0.420392,0.0425104,-0.032208,-0.191815,0.001,0.0001
-0.0764448,0.807271,-0.450986,0.0641073,0.00837648,-0.126263,0.001,0.0001
-0.0901149,0.948174,-0.44197,0.101343,0.0347806,-0.0938803,0.001,0.0001
-0.0463665,0.748548,-0.435216,0.135671,0.0329588,-0.0909575,0.001,0.0001
0.000172135,0.414835,-0.451747,0.122951,0.0827934,-0.063884,0.001,0.0001
0.0553921,0.169555,-0.433544,0.0856149,0.125953,0.00391543,0.001,0.0001
0.0991639,0.149264,-0.372042,0.0402102,0.148624,0.0959374,0.001,0.0001
0.100389,0.328276,-0.287234,-0.0123852,0.158358,0.190392,0.001,0.0001
0.0905674,0.44175,-0.230487,-0.0507941,0.171909,0.261717,0.001,0.0001
0.076304,0.456203,-0.246218,-0.0707109,0.16942,0.314448,0.001,0.0001
0.038349,0.419056,-0.308148,-0.0732794,0.165765,0.353325,0.001,0.0001
0.0155064,0.347774,-0.340336,-0.0696567,0.156773,0.349611,0.001,0.0001
0.013205,0.237094,-0.296421,-0.0605142,0.162981,0.330652,0.001,0.0001
-0.0231411,0.119645,-0.199736,-0.0408337,0.158719,0.29843,0.001,0.0001
-0.0713824,0.108878,-0.0295883,-0.0288935,0.149407,0.265423,0.001,0.0001
-0.0936936,0.0456515,0.158382,-0.0100337,0.148693,0.225418,0.001,0.0001
-0.0584446,-0.15839,0.243104,0.00215489,0.127965,0.161514,0.001,0.0001
-0.0534948,-0.331292,0.176386,0.0119846,0.109676,0.137421,0.001,0.0001
-0.159115,-0.379259,0.0467137,0.0232139,0.0806694,0.134835,0.001,0.0001
-0.299336,-0.367539,-0.0411381,0.0338192,0.0354082,0.1267,0.001,0.0001
-0.475526,-0.196943,-0.05487,0.0443873,-0.00796795,0.138449,0.001,0.0001
-0.638897,-0.0313288,-0.0264807,0.0538391,-0.0454343,0.139812,0.001,0.0001
-0.746736,0.0276262,-0.00745188,0.0603116,-0.0815437,0.114721,0.001,0.0001
-0.800331,0.0381302,-0.00708474,0.0593566,-0.113957,0.0907936,0.001,0.0001
-0.794776,0.000198917,-0.0282682,0.0723287,-0.134554,0.0487586,0.001,0.0001
-0.737893,-0.0803187,-0.00212763,0.0847949,-0.151483,-0.0126273,0.001,0.0001
-0.579151,-0.124464,0.0586377,0.0930441,-0.165469,-0.0638084,0.001,0.0001
-0.429665,-0.173275,0.0800067,0.0875183,-0.174339,-0.130326,0.001,0.0001
-0.314782,-0.192198,0.0754004,0.0739758,-0.185864,-0.157425,0.001,0.0001
-0.276233,-0.193983,0.0634183,0.0441349,-0.168682,-0.149646,0.001,0.0001
-0.314941,-0.329264,0.0750513,0.0306164,-0.137467,-0.161563,0.001,0.0001
-0.290225,-0.672087,0.156811,0.0598666,-0.0921342,-0.235439,0.001,0.0001
-0.187213,-0.851334,0.254405,0.0698989,-0.0724525,-0.282372,0.001,0.0001
-0.103915,-0.824419,0.262494,0.0928359,-0.107169,-0.277736,0.001,0.0001
-0.164802,-0.810872,0.0940231,0.120137,-0.135131,-0.247451,0.001,0.0001
-0.446705,-0.871216,-0.113195,0.114169,-0.130426,-0.218075,0.001,0.0001
-0.956085,-0.851514,-0.223713,0.0835267,-0.0339616,-0.219712,0.001,0.0001
-0.956085,-0.851514,-0.223713,0.0835267,-0.0339616,-0.219712,0.0528412,-0.000640869
-1.18179,-0.623819,-0.193565,0.0552175,0.0713955,-0.287779,0.0528412,-0.000640869
-0.687563,-0.261298,0.0442272,0.0322807,0.11011,-0.370353,0.0528412,-0.000640869
0.091889,0.0552152,0.273933,0.0190065,0.14902,-0.360783,0.0528412,-0.000640869
0.545435,0.110917,0.408107,0.0178295,0.144695,-0.239891,0.0528412,-0.000640869
0.665615,-0.035635,0.41155,0.0290756,0.120746,-0.10629,0.0528412,-0.000640869
0.623097,-0.150197,0.370124,0.00820957,0.10272,0.00550866,0.0528412,-0.000640869
0.563832,-0.113612,0.257945,-0.0256457,0.107951,0.0943331,0.0528412,-0.000640869
0.591012,0.0586517,0.134745,-0.0550654,0.126983,0.161121,0.0528412,-0.000640869
0.644693,0.231375,0.0456546,-0.0674333,0.131921,0.215644,0.0528412,-0.000640869
0.655535,0.332752,0.013185,-0.0622713,0.132082,0.280203,0.0528412,-0.000640869
0.596565,0.32087,-0.00210985,-0.0513228,0.123435,0.322325,0.0528412,-0.000640869
0.472528,0.258155,-0.0462366,-0.0441429,0.114265,0.3556,0.0528412,-0.000640869
0.312073,0.209119,-0.0991381,-0.0339249,0.111533,0.362105,0.0528412,-0.000640869
0.200474,0.210811,-0.122977,-0.0375062,0.10566,0.355412,0.0528412,-0.000640869
0.110948,0.235772,-0.153446,-0.0358002,0.0999521,0.329513,0.0528412,-0.000640869
0.0415088,0.233864,-0.153979,-0.0367557,0.081932,0.298279,0.0528412,-0.000640869
-0.0466981,0.183262,-0.146795,-0.0394158,0.0535485,0.263183,0.0528412,-0.000640869
-0.181833,0.114489,-0.15228,-0.0303844,0.0164786,0.23284,0.0528412,-0.000640869
-0.366036,0.0508324,-0.135957,-0.0299885,-0.00861752,0.208256,0.0528412,-0.000640869
-0.548825,0.0448681,-0.08914,-0.032359,-0.0220651,0.185044,0.0528412,-0.000640869
-0.64074,0.091656,-0.0647266,-0.0285559,-0.0329451,0.146835,0.0528412,-0.000640869
-0.611306,0.101951,-0.0162325,-0.0233252,-0.0516866,0.0991011,0.0528412,-0.000640869
-0.541464,0.0452195,0.0570013,-0.0237216,-0.0715228,0.0692176,0.0528412,-0.000640869
-0.521225,-0.0187638,0.0781628,-0.0218521,-0.0962929,0.0591297,0.0528412,-0.000640869
-0.514993,-0.0250404,-0.017495,-0.0331221,-0.119148,0.0485332,0.0528412,-0.000640869
-0.475276,0.0124498,-0.176856,-0.056393,-0.12552,0.031585,0.0528412,-0.000640869
-0.400799,0.113476,-0.339748,-0.0524824,-0.123928,0.0148017,0.0528412,-0.000640869
-0.280684,0.165592,-0.408695,-0.0367086,-0.139533,-0.0237241,0.0528412,-0.000640869
-0.179278,0.199879,-0.395674,-0.0418478,-0.134121,-0.0430585,0.0528412,-0.000640869
-0.184014,0.129261,-0.375238,-0.0355002,-0.132668,-0.0756669,0.0528412,-0.000640869
-0.271613,0.0500924,-0.322188,-0.0140671,-0.127519,-0.137599,0.0528412,-0.000640869
-0.309336,0.07367,-0.211241,0.0130006,-0.106054,-0.2311,0.0528412,-0.000640869
-0.191234,0.172093,-0.031999,0.055928,-0.0854795,-0.33094,0.0528412,-0.000640869
-0.00979859,0.191233,0.2445,0.0906735,-0.0950247,-0.416705,0.0528412,-0.000640869
0.0922117,0.0353409,0.497937,0.109967,-0.116323,-0.462275,0.0528412,-0.000640869
-0.0110594,-0.354419,0.460736,0.0747067,-0.0982907,-0.501723,0.0528412,-0.000640869
-0.132406,-0.430876,0.196383,0.0135209,-0.012495,-0.504378,0.0528412,-0.000640869
-0.0684676,-0.00968809,0.0627953,-0.0116881,0.027121,-0.428957,0.0528412,-0.000640869
