rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z,relativeAltitude
-0.314808,0.158733,-0.0466788,0.0586565,0.0152883,-0.0297543,0
-0.194368,-0.32267,0.114988,0.0985679,0.0131083,0.0180091,0
0.0181214,-0.288411,0.0943941,0.0128368,-0.035202,-0.0545757,0
0.198999,-0.0530388,-0.00810494,-0.0401539,-0.0386145,-0.0545884,0
0.160108,-0.0460856,-0.0586469,-0.020616,-0.0341819,0.027885,0
-0.0119773,-0.150509,-0.066217,0.0143282,-0.0286037,0.081318,0
-0.151214,-0.213353,-0.064095,0.0200529,-0.0162716,0.0628499,0
-0.155217,-0.188132,-0.0674044,0.019208,-0.0138671,-0.000387669,0
-0.0885026,-0.1476,-0.0555175,0.0248731,-0.004473,-0.0319496,0
-0.00401229,-0.0302085,-0.0614433,0.0240636,-0.0100647,-0.0602685,0
0.00696641,0.041726,-0.0307339,0.0237821,0.00817594,-0.0202748,0
-0.00336868,-0.0385922,-0.00606616,0.0303316,-0.00196117,0.0124489,0
0.0129423,-0.0376163,-0.0205513,0.0228603,-0.013497,0.0228746,0
-0.026737,-0.0839872,-0.0307952,0.022743,-0.00799772,0.0474318,0
-0.0916507,-0.110277,-0.0214984,0.02964,-0.0172161,0.0463871,0
-0.130033,-0.126193,-0.0279121,0.0215908,-0.0150521,0.028482,0
-0.128358,-0.123392,-0.0472143,0.021777,-0.0217875,-0.00155848,0
-0.117373,-0.0804264,-0.029878,0.0280305,-0.0136092,-0.0232798,0
-0.0891773,-0.0694464,0.0115922,0.0316857,-0.00732972,-0.021983,0
-0.0234977,-0.0293034,0.0185072,0.0237844,-0.0192058,-0.0335799,0
0.00276106,0.00282022,0.0152363,0.0153631,-0.0265125,-0.0100604,0
-0.0381725,-0.0293736,0.00361582,0.0157432,-0.0309614,0.0233503,0
-0.114094,-0.0738863,-0.00779955,0.0101265,-0.0369596,0.037976,0
-0.183692,-0.0771249,-0.0237269,0.00579558,-0.038254,0.0236601,0
-0.195525,-0.0726821,-0.0566688,-0.00572418,-0.0417164,-0.00455201,0
-0.159043,-0.0756774,-0.0729587,-0.00158111,-0.0399212,-0.0238485,0
-0.129477,-0.103236,-0.0727833,-0.0148965,-0.0242281,-0.0230144,0
-0.135637,-0.0949637,-0.0859082,-0.03536,-0.0126089,-0.0121022,0
-0.146646,-0.079944,-0.128122,-0.0601252,-0.00859512,0.00240839,0
-0.128987,-0.0727281,-0.162196,-0.0728219,0.00358438,0.0156373,0
-0.120909,-0.060949,-0.179698,-0.090466,0.0217964,0.047417,0
-0.110257,-0.0895843,-0.19427,-0.110411,0.0279392,0.0769774,0
-0.0772336,-0.052522,-0.214651,-0.128196,0.0254487,0.0942624,0
-0.079341,-0.0673418,-0.244291,-0.142764,0.0247357,0.100894,0
-0.115838,-0.0897409,-0.272502,-0.144818,0.0239854,0.0874164,0
-0.120744,-0.0658204,-0.300844,-0.148223,0.0137147,0.0674995,0
-0.0943159,-0.0237399,-0.344786,-0.167515,0.0152036,0.0430272,0
-0.0984296,-0.0715071,-0.375834,-0.170909,0.00913106,0.0327705,0
-0.237,-0.305327,-0.442254,-0.179631,-0.0103649,0.0451347,0
-0.400434,-0.463766,-0.559423,-0.205718,-0.0321244,0.00739664,0
-0.569972,-0.486549,-0.724343,-0.226293,-0.053815,-0.0433981,0
-0.569831,-0.28564,-0.813579,-0.183541,-0.0805776,-0.108894,0
-0.398459,-0.00860805,-0.777322,-0.12434,-0.0710481,-0.0932301,0
-0.276829,0.043461,-0.65572,-0.0690382,-0.074061,0.0246406,0
-0.208728,-0.0293658,-0.547024,-0.0337358,-0.123007,0.116801,0
-0.162652,-0.157135,-0.537306,-0.013125,-0.175285,0.143927,0
-0.176769,-0.204831,-0.586219,-0.0115562,-0.205034,0.166972,0
-0.26241,-0.194035,-0.658324,0.00270782,-0.22686,0.171691,0
-0.419278,-0.264544,-0.732713,0.0465288,-0.2484,0.172834,0
-0.537498,-0.439154,-0.748227,0.125519,-0.264042,0.124069,0
-0.501749,-0.474949,-0.678926,0.165902,-0.252769,0.00585324,0
-0.37335,-0.328992,-0.559673,0.174777,-0.218671,-0.104376,0
-0.37335,-0.328992,-0.559673,0.174777,-0.218671,-0.104376,0
-0.237187,-0.160181,-0.410513,0.210412,-0.221941,-0.176047,0
-0.196501,-0.101334,-0.255082,0.239041,-0.225073,-0.212338,0
-0.189195,-0.0553024,-0.119803,0.236931,-0.229922,-0.285581,0
-0.0949091,0.0139353,-0.00241842,0.235807,-0.229565,-0.417018,0
0.0841701,0.265558,0.0865489,0.188444,-0.199055,-0.543885,0
0.223003,0.584081,0.17894,0.16079,-0.169744,-0.587068,0
0.288103,0.801049,0.245973,0.132079,-0.147834,-0.551931,0
0.317925,0.747124,0.290658,0.12625,-0.123534,-0.485658,0
0.307892,0.58527,0.339747,0.128732,-0.109691,-0.438027,0
0.273416,0.503574,0.365366,0.0882142,-0.070023,-0.392318,0
0.447615,0.4178,0.459567,0.082474,-0.017393,-0.355537,0
0.783023,0.480308,0.609831,0.129577,0.0169692,-0.266344,0
0.939771,0.552924,0.804184,0.13235,0.0800225,-0.0931043,0
0.862535,0.664343,0.993772,0.113352,0.0963843,0.0694345,0
0.776725,0.568986,1.11179,0.0906616,0.0899461,0.161511,0
0.828242,0.294169,1.17833,0.0629355,0.0992627,0.177065,0
0.89302,0.0242898,1.20551,0.0348286,0.1357,0.168677,0
0.914895,-0.079272,1.19499,0.0173887,0.154178,0.142878,0
0.906452,0.020731,1.11714,-0.0139083,0.177846,0.121733,0
0.902447,0.166153,1.04074,-0.0109246,0.20494,0.125148,0
0.878217,0.283385,1.00701,0.0141344,0.231007,0.16618,0
0.842322,0.344222,0.996911,0.0223822,0.256182,0.240587,0
0.792474,0.370325,0.964173,0.0234959,0.262017,0.312223,0
0.691315,0.346226,0.890425,0.0227595,0.26247,0.390506,0
0.532256,0.401596,0.804034,0.0152122,0.268296,0.453307,0
0.283175,0.409887,0.693641,0.0129701,0.26423,0.526038,0
0.0218867,0.432745,0.561522,0.0112439,0.258227,0.562808,0
-0.287441,0.341762,0.384413,-0.0144666,0.26045,0.586056,0
-0.623771,0.0969,0.173891,-0.0241702,0.245024,0.559841,0
