rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z,relativeAltitude,altitude_pressure
-0.52048,0.276107,0.235358,-0.00209164,-0.142015,-0.0657491,0.001,0.0001
-0.41389,0.232438,0.185071,-0.00868764,-0.166659,-0.0972071,0.001,0.0001
-0.311928,0.0487108,0.142232,0.00721923,-0.203474,-0.139233,0.001,0.0001
-0.226145,-0.14523,0.118085,0.0151959,-0.223696,-0.195225,0.001,0.0001
-0.150255,-0.251567,0.0893315,-0.0100428,-0.203242,-0.273974,0.001,0.0001
-0.0383395,-0.110197,0.126025,-0.0252828,-0.17359,-0.327228,0.001,0.0001
0.0877503,-0.00574156,0.188844,-0.0140499,-0.165303,-0.399841,0.001,0.0001
0.194898,-0.260837,0.211388,-0.0100141,-0.142005,-0.497107,0.001,0.0001
0.289952,-0.525481,0.0984314,-0.0367554,-0.0819741,-0.563359,0.001,0.0001
0.381825,-0.539419,-0.15311,-0.088371,0.00172517,-0.561913,0.001,0.0001
0.476677,-0.279538,-0.331085,-0.149389,0.101152,-0.502387,0.001,0.0001
0.573384,0.209965,-0.335503,-0.154777,0.154473,-0.359838,0.001,0.0001
0.633861,0.700295,-0.242035,-0.103555,0.161689,-0.172821,0.001,0.0001
0.581305,0.897509,-0.173626,-0.0442233,0.151643,0.00169897,0.001,0.0001
0.52029,0.770375,-0.243312,0.00293446,0.160016,0.121003,0.001,0.0001
0.459109,0.523956,-0.367285,0.0469186,0.161775,0.197657,0.001,0.0001
0.357981,0.347297,-0.418034,0.0869072,0.175612,0.257439,0.001,0.0001
0.280007,0.167861,-0.328015,0.11004,0.180394,0.275236,0.001,0.0001
0.227413,-0.0748416,-0.182451,0.107999,0.186442,0.255658,0.001,0.0001
0.187137,-0.216461,-0.0984081,0.0803873,0.18761,0.253376,0.001,0.0001
0.121912,-0.157483,-0.0988359,0.0547794,0.165427,0.260573,0.001,0.0001
0.0202038,-0.00474405,-0.142455,0.0415412,0.149187,0.260798,0.001,0.0001
-0.0966547,0.0887593,-0.175464,0.0316988,0.144629,0.252416,0.001,0.0001
-0.197739,0.137064,-0.195399,0.0294304,0.143623,0.230852,0.001,0.0001
-0.254393,0.181297,-0.159312,0.0373177,0.140459,0.211227,0.001,0.0001
-0.256939,0.175416,-0.0715847,0.050081,0.126033,0.178647,0.001,0.0001
-0.197133,0.125856,0.0460803,0.0504745,0.115233,0.152157,0.001,0.0001
-0.173819,0.04857,0.143885,0.0468294,0.0975187,0.133231,0.001,0.0001
-0.222233,-0.0135943,0.16999,0.0513605,0.0654522,0.126232,0.001,0.0001
-0.321347,-0.0594921,0.129274,0.0573062,0.0283717,0.116741,0.001,0.0001
-0.395654,0.00640164,0.111128,0.0562949,-0.00235936,0.100733,0.001,0.0001
-0.483048,0.119969,0.138006,0.0582031,-0.0361198,0.10905,0.001,0.0001
-0.570525,0.171112,0.180846,0.0733513,-0.0673265,0.102363,0.001,0.0001
-0.614742,0.182746,0.238673,0.0881597,-0.0990775,0.0940133,0.001,0.0001
-0.557434,0.147794,0.305303,0.0913224,-0.123321,0.0671528,0.001,0.0001
-0.442836,0.0718707,0.374905,0.084213,-0.147865,0.0464252,0.001,0.0001
-0.32716,-0.0858044,0.384316,0.0714646,-0.163604,0.0202269,0.001,0.0001
-0.215619,-0.17613,0.31547,0.0558202,-0.184782,-0.00136578,0.001,0.0001
-0.189669,-0.142332,0.211272,0.0356587,-0.200197,-0.0254872,0.001,0.0001
-0.235794,-0.0480033,0.0768257,0.0194874,-0.204269,-0.0716541,0.001,0.0001
-0.229268,-0.0091236,-0.0513016,-0.010381,-0.185923,-0.147548,0.001,0.0001
-0.192779,0.00609925,-0.156855,-0.0326605,-0.161757,-0.220866,0.001,0.0001
-0.135808,0.048409,-0.205194,-0.0432841,-0.139619,-0.285833,0.001,0.0001
-0.0716802,0.105109,-0.213555,-0.0606292,-0.114361,-0.323883,0.001,0.0001
-0.125249,0.111037,-0.279724,-0.0494369,-0.0853497,-0.352455,0.001,0.0001
-0.310529,-0.0235266,-0.418693,-0.045851,-0.0434532,-0.40171,0.001,0.0001
-0.365744,-0.337965,-0.508634,-0.0768312,0.0388646,-0.488471,0.001,0.0001
-0.209614,-0.29979,-0.523924,-0.120597,0.11089,-0.505021,0.001,0.0001
0.0670148,0.107824,-0.467999,-0.170393,0.170349,-0.435333,0.001,0.0001
0.364381,0.476656,-0.316621,-0.165168,0.155535,-0.320491,0.001,0.0001
0.470701,0.681224,-0.185735,-0.132493,0.123612,-0.162775,0.001,0.0001
0.470701,0.681224,-0.185735,-0.132493,0.123612,-0.162775,0.0237885,-0.000274658
0.470767,0.638612,-0.191466,-0.101606,0.0930628,-0.0407633,0.0237885,-0.000274658
0.466386,0.445548,-0.314111,-0.0736603,0.0725799,0.0361895,0.0237885,-0.000274658
0.513201,0.325386,-0.418903,-0.0641336,0.0812091,0.0935203,0.0237885,-0.000274658
0.540535,0.317533,-0.451276,-0.043333,0.084484,0.146627,0.0237885,-0.000274658
0.496348,0.241748,-0.425253,-0.00510069,0.0873444,0.17111,0.0237885,-0.000274658
0.398329,0.0886173,-0.353291,0.0248186,0.0983759,0.174474,0.0237885,-0.000274658
0.303254,-0.002894,-0.248349,0.0296559,0.120719,0.180835,0.0237885,-0.000274658
0.283112,0.0835696,-0.139106,0.0156678,0.147731,0.199631,0.0237885,-0.000274658
0.340087,0.251738,-0.00797306,0.0122392,0.153484,0.22969,0.0237885,-0.000274658
0.445086,0.326119,0.111171,0.00703415,0.147604,0.258537,0.0237885,-0.000274658
0.548542,0.253517,0.167706,0.000364296,0.138946,0.291374,0.0237885,-0.000274658
0.590739,0.139,0.132098,-0.00365041,0.126172,0.304768,0.0237885,-0.000274658
0.54676,0.148281,0.0602449,-0.00709141,0.101191,0.32524,0.0237885,-0.000274658
0.378344,0.138431,0.0223653,-0.00745681,0.0738078,0.32431,0.0237885,-0.000274658
0.142167,0.146113,0.0123466,-0.0181145,0.0472559,0.294252,0.0237885,-0.000274658
-0.148901,0.185836,0.0122544,-0.0314267,0.0202845,0.279514,0.0237885,-0.000274658
-0.389993,0.0184772,0.0198007,-0.0450871,0.00365531,0.217643,0.0237885,-0.000274658
-0.515423,-0.082264,-0.0267779,-0.0674082,-0.0103692,0.162887,0.0237885,-0.000274658
-0.548304,0.0192876,-0.193445,-0.12143,-0.0165519,0.11454,0.0237885,-0.000274658
-0.594852,0.34628,-0.294857,-0.0825612,-0.0831667,0.139644,0.0237885,-0.000274658
-0.630765,0.351026,-0.227089,-0.0153958,-0.142274,0.128305,0.0237885,-0.000274658
-0.667784,0.112025,-0.0399042,-0.0129596,-0.142659,0.119149,0.0237885,-0.000274658
-0.693195,-0.141951,0.053868,0.0089037,-0.153698,0.104062,0.0237885,-0.000274658
-0.63654,-0.287726,0.00955896,0.0231117,-0.15617,0.0770314,0.0237885,-0.000274658
-0.538084,-0.288838,-0.0680772,0.0201625,-0.140567,0.0396109,0.0237885,-0.000274658
-0.480641,-0.193908,-0.094941,0.0314842,-0.12282,0.0103616,0.0237885,-0.000274658
-0.476932,-0.074382,-0.0395927,0.053083,-0.113847,-0.00670117,0.0237885,-0.000274658
-0.457802,0.00736499,0.100287,0.0889268,-0.119546,-0.0217294,0.0237885,-0.000274658
-0.387698,-0.0155807,0.279411,0.103657,-0.124281,-0.0337346,0.0237885,-0.000274658
-0.288927,-0.127682,0.45689,0.110246,-0.12186,-0.0604857,0.0237885,-0.000274658
-0.20966,-0.250354,0.592508,0.1008,-0.120594,-0.108776,0.0237885,-0.000274658
-0.226594,-0.221407,0.706832,0.0809889,-0.123827,-0.167639,0.0237885,-0.000274658
-0.275669,0.206535,0.799643,0.0503902,-0.145096,-0.224153,0.0237885,-0.000274658
-0.241885,0.379107,0.866953,0.0252224,-0.159328,-0.313946,0.0237885,-0.000274658
-0.0912323,0.306741,0.783958,-0.0184767,-0.122528,-0.404088,0.0237885,-0.000274658
0.0650993,0.00593435,0.501885,-0.0331943,-0.0982,-0.502589,0.0237885,-0.000274658
0.0916057,-0.170776,0.0927928,-0.038066,-0.0474153,-0.543728,0.0237885,-0.000274658
-0.0655019,0.143009,-0.183527,-0.0408846,-0.0175632,-0.494391,0.0237885,-0.000274658
-0.115414,0.638496,-0.302601,-0.0484749,0.0359335,-0.414636,0.0237885,-0.000274658
-0.0728939,0.98385,-0.31108,-0.0231401,0.112775,-0.340356,0.0237885,-0.000274658
0.0682847,1.00936,-0.151433,0.0241561,0.130815,-0.258319,0.0237885,-0.000274658
0.173911,0.619023,0.00233216,0.0689922,0.142125,-0.19252,0.0237885,-0.000274658
0.127971,0.241218,-0.0917358,0.106077,0.213185,-0.130131,0.0237885,-0.000274658
0.103896,0.157682,-0.186973,0.0830017,0.221175,-0.032504,0.0237885,-0.000274658
0.158118,0.185604,-0.141604,0.0369864,0.223701,0.0341569,0.0237885,-0.000274658
0.234003,0.189652,0.0531846,0.0028919,0.215377,0.0745494,0.0237885,-0.000274658
0.382501,0.213709,0.31995,-0.046944,0.182722,0.156077,0.0237885,-0.000274658
0.51035,0.240342,0.421455,-0.0753534,0.167489,0.21436,0.0237885,-0.000274658
0.595588,0.262159,0.326581,-0.0764148,0.140989,0.287327,0.0237885,-0.000274658
0.610325,0.262902,0.138285,-0.0818711,0.108495,0.351048,0.0237885,-0.000274658
0.478412,0.298404,-0.0674744,-0.0753858,0.100312,0.400092,0.0237885,-0.000274658
0.478412,0.298404,-0.0674744,-0.0753858,0.100312,0.400092,0.0237732,-0.000274658
