rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z,relativeAltitude
-0.313122,0.178088,0.642334,0.0451421,-0.124094,-0.0144261,2.14291
-0.222962,-0.062988,0.757083,0.0866997,-0.102314,0.0101402,2.14291
0.0153087,-0.07576,0.724413,0.0515395,-0.110132,-0.0252123,2.14291
0.206494,-0.0320071,0.610774,0.00301224,-0.113972,-0.0322066,2.14291
0.199468,-0.0940347,0.553806,0.0347843,-0.108834,0.0322627,2.14291
0.141911,-0.0812414,0.537525,0.0807797,-0.100499,0.0446923,2.14291
0.122585,0.0036453,0.519526,0.0854503,-0.0673575,0.0278687,2.14291
0.130291,0.0452619,0.47164,0.0736769,-0.0413522,0.0197691,2.14291
0.137631,-0.0238832,0.42094,0.0678783,-0.0199655,0.0178139,2.14291
0.170532,-0.0401463,0.405557,0.0825265,-0.000698268,-0.00255466,2.14291
0.194519,0.0672663,0.40373,0.073308,0.0251232,-0.0295086,2.14291
0.159661,0.154695,0.444242,0.066073,0.0514717,-0.0233563,2.14291
0.0724561,0.127498,0.472612,0.0607032,0.0469272,0.010451,2.14291
-0.0640515,0.0196487,0.495819,0.0418997,0.045728,0.0346513,2.14291
-0.249723,-0.109514,0.472396,0.00246137,0.0407134,0.0297526,2.14291
-0.400666,-0.264441,0.477989,-0.0119621,0.0355437,-0.0113797,2.14291
-0.404003,-0.288026,0.530384,-0.0365764,0.0617032,-0.105409,2.14291
-0.160437,-0.0551403,0.642358,-0.0569707,0.0662123,-0.20628,2.14291
0.176578,0.0946183,0.782817,-0.0586666,0.0558931,-0.163914,2.14291
0.397419,0.133646,0.823589,-0.0877165,-0.0105992,-0.0237629,2.14291
0.394601,-0.0191744,0.715663,-0.11819,-0.0736986,0.131952,2.14291
0.192597,-0.261577,0.403816,-0.168956,-0.131104,0.222467,2.14291
-0.126256,-0.382611,-0.0203922,-0.193848,-0.155285,0.232483,2.14291
-0.36723,-0.236414,-0.30585,-0.134951,-0.106536,0.156909,2.14291
-0.473292,-0.0313019,-0.347239,-0.0285904,-0.00285226,0.0777471,2.14291
-0.5863,0.308784,-0.342955,0.0323673,0.058977,0.0238272,2.14291
-0.698889,0.258883,-0.246832,0.0761303,0.111079,0.0326586,2.14291
-0.694013,-0.0738268,-0.147617,0.090778,0.142301,0.00511086,2.14291
-0.501208,-0.311796,-0.0447267,0.0939689,0.156047,-0.0739791,2.14291
-0.267301,-0.104227,0.0771618,0.0820509,0.167989,-0.136911,2.14291
-0.219938,0.174154,0.260322,0.0826939,0.1644,-0.0740866,2.14291
-0.324627,0.232841,0.441911,0.0824952,0.120227,0.0574402,2.14291
-0.370188,0.188583,0.53739,0.0333538,0.065145,0.122524,2.14291
-0.37642,0.126632,0.529504,-0.0339543,0.0103667,0.14313,2.14291
-0.458059,0.0507692,0.509926,-0.071005,-0.0275708,0.170325,2.14291
-0.597076,-0.0486407,0.503264,-0.0936554,-0.0516718,0.185087,2.14291
-0.666895,-0.167836,0.471692,-0.110828,-0.0812733,0.151265,2.14291
-0.633177,-0.297469,0.430606,-0.11623,-0.111191,0.0828382,2.14291
-0.576932,-0.338887,0.354938,-0.127054,-0.132458,0.0127478,2.14291
-0.536191,-0.322083,0.246347,-0.134903,-0.158279,-0.0378104,2.14291
-0.529419,-0.208252,0.145261,-0.109846,-0.189808,-0.088049,2.14291
-0.497133,-0.038084,0.113475,-0.0682162,-0.186799,-0.126813,2.14291
-0.468349,0.0107334,0.0956263,-0.0409125,-0.190656,-0.143787,2.14291
-0.380174,-0.0482389,0.0494989,-0.0223037,-0.220133,-0.184597,2.14291
-0.22843,-0.0577545,0.016041,-0.000398673,-0.221194,-0.263473,2.14291
-0.0816759,0.133863,0.0200159,0.0270803,-0.197115,-0.329537,2.14291
0.055142,0.374887,0.036251,0.045218,-0.173473,-0.370622,2.14291
0.118192,0.325183,0.0123761,0.0477486,-0.144934,-0.33939,2.14291
0.0264353,0.122795,-0.0731047,0.0286926,-0.112238,-0.308747,2.14291
-0.136887,0.0588751,-0.168205,-0.00820493,-0.0596875,-0.354276,2.14291
-0.136887,0.0588751,-0.168205,-0.00820493,-0.0596875,-0.354276,0
-0.19774,0.16324,-0.22436,-0.0330381,0.00227173,-0.442097,0
-0.125694,0.321501,-0.193826,-0.0251824,0.0765361,-0.477552,0
0.0452358,0.50544,-0.0344391,-0.00479026,0.15342,-0.452921,0
0.333835,0.608922,0.238503,0.0244987,0.181704,-0.365019,0
0.732729,0.562024,0.442215,0.0227478,0.147171,-0.226677,0
1.09824,0.623782,0.509894,-0.00730246,0.0994799,-0.0662922,0
1.16957,0.781156,0.491002,-0.0277907,0.0564154,0.128875,0
0.910944,0.723572,0.33725,-0.0563226,0.0174426,0.32478,0
0.458841,0.273522,0.0240526,-0.0767878,-0.0186811,0.439511,0
0.0102551,-0.231353,-0.311349,-0.0234087,-0.0485896,0.412633,0
-0.289213,-0.306866,-0.484402,0.0403397,0.0330507,0.225699,0
-0.305548,0.0241491,-0.505542,0.0687063,0.137244,0.0193613,0
-0.0228578,0.476736,-0.36725,0.122736,0.210727,-0.126689,0
0.358591,0.736693,-0.0927767,0.170832,0.282585,-0.127097,0
0.641194,0.833513,0.1846,0.163925,0.312286,-0.0311074,0
0.75817,0.779488,0.355644,0.117096,0.282166,0.105685,0
0.749942,0.777528,0.426271,0.0444457,0.247487,0.212106,0
0.582084,0.698238,0.456375,-0.00194484,0.228787,0.31558,0
0.323662,0.517243,0.507473,-0.00509602,0.200451,0.383744,0
0.0337807,0.283935,0.544769,-0.0102932,0.17141,0.396891,0
-0.194654,0.160259,0.54347,-0.0380083,0.151434,0.346189,0
-0.314395,0.11448,0.530364,-0.0601847,0.126844,0.261223,0
-0.341505,0.087434,0.464886,-0.0733119,0.0912746,0.194507,0
-0.364141,-0.00781528,0.35019,-0.0854559,0.0623643,0.16161,0
-0.454075,-0.11697,0.25211,-0.0749829,0.0389142,0.142139,0
-0.569641,-0.0792202,0.198401,-0.0442356,0.0141939,0.0891506,0
-0.606893,0.112805,0.20275,-0.0125766,0.00493619,0.0187162,0
-0.517863,0.268134,0.244416,0.00103325,0.00892401,-0.0196648,0
-0.43601,0.166176,0.298499,0.0281667,-0.00917992,0.0176634,0
-0.396231,-0.0242819,0.336466,0.0330064,-0.041712,0.0563627,0
-0.383818,-0.0855817,0.362828,0.0292485,-0.0727676,0.0509202,0
-0.367257,0.0168765,0.356574,-0.00569975,-0.102113,0.0204604,0
-0.372464,0.064732,0.285681,-0.0311594,-0.122917,0.0254683,0
-0.451905,-0.0403411,0.212958,-0.0297991,-0.127222,0.0593808,0
-0.518728,-0.12318,0.177165,0.000103235,-0.129804,0.0502282,0
-0.533238,-0.128663,0.151802,0.0126957,-0.122047,-0.000442326,0
-0.500459,-0.171619,0.150844,0.0395501,-0.123859,-0.0527241,0
-0.434897,-0.250317,0.160187,0.0667272,-0.132451,-0.10278,0
-0.401941,-0.295246,0.159202,0.0853155,-0.137733,-0.159757,0
-0.412566,-0.351937,0.18677,0.102409,-0.133807,-0.208877,0
-0.338539,-0.397634,0.253709,0.128797,-0.145379,-0.293218,0
-0.102349,-0.311391,0.327976,0.135064,-0.147426,-0.398533,0
0.0826711,-0.302492,0.349167,0.112588,-0.126735,-0.413642,0
-0.00544061,-0.315232,0.236362,0.0614761,-0.120227,-0.354736,0
-0.31357,-0.365506,0.0393265,-0.00187805,-0.0959019,-0.309932,0
-0.521612,-0.515445,-0.101536,0.00223605,-0.0567779,-0.345258,0
-0.430515,-0.73533,-0.162362,0.0430675,0.00537515,-0.453234,0
-0.133476,-0.594458,-0.167084,0.0486684,0.0540425,-0.55685,0
0.294449,-0.0183986,-0.0680112,0.0460093,0.0776352,-0.59583,0
0.792908,0.507204,0.0557103,0.0480153,0.0624531,-0.486152,0
1.15273,0.731568,0.117731,0.0284255,0.0479714,-0.234958,0
1.15273,0.731568,0.117731,0.0284255,0.0479714,-0.234958,0.058136
1.26557,0.790086,0.142599,-0.0179845,0.0594706,0.0133793,0.058136
1.16701,0.618335,0.119195,-0.0951103,0.101783,0.200637,0.058136
0.956752,0.241726,0.00695268,-0.180607,0.138236,0.315362,0.058136
0.726775,-0.118183,-0.128193,-0.225419,0.167161,0.340589,0.058136
0.499925,-0.314748,-0.217915,-0.213422,0.192609,0.331934,0.058136
0.326496,-0.30072,-0.245399,-0.1744,0.211299,0.29909,0.058136
0.240031,-0.216519,-0.199283,-0.13386,0.213752,0.264633,0.058136
0.274948,-0.234552,-0.113488,-0.0806419,0.197832,0.254477,0.058136
0.383682,-0.290788,-0.0153109,-0.0476747,0.172961,0.259871,0.058136
0.423908,-0.303066,0.00243941,-0.0518528,0.147417,0.294151,0.058136
0.352275,-0.264168,-0.0352704,-0.068145,0.118701,0.328464,0.058136
0.237476,-0.253052,-0.0724797,-0.0640654,0.110407,0.34808,0.058136
0.102417,-0.272304,-0.094943,-0.0574129,0.115644,0.353921,0.058136
-0.0760245,-0.289347,-0.108955,-0.054742,0.131892,0.344732,0.058136
-0.275133,-0.302038,-0.114924,-0.0322367,0.128345,0.324315,0.058136
-0.463029,-0.337464,-0.104772,-0.00192216,0.114115,0.292403,0.058136
-0.632513,-0.454953,-0.041462,0.0473068,0.0904505,0.255525,0.058136
-0.74154,-0.585938,0.0406337,0.0772033,0.0655009,0.177904,0.058136
-0.747935,-0.554474,0.120762,0.0897083,0.0194807,0.0628878,0.058136
-0.70603,-0.393471,0.179133,0.0770014,-0.0226773,-0.0177938,0.058136
-0.64901,-0.223177,0.171799,0.0397081,-0.0618283,-0.0595979,0.058136
-0.567837,-0.104552,0.155871,0.0178581,-0.103936,-0.0761392,0.058136
-0.489594,-0.0578257,0.124805,0.000886001,-0.12141,-0.0588515,0.058136
-0.457615,-0.0368364,0.092399,-0.0154845,-0.136337,-0.0261318,0.058136
-0.471406,-0.000645393,0.0439976,-0.0272428,-0.142843,0.00409508,0.058136
-0.525028,0.00607653,-0.0184302,-0.0291234,-0.149559,0.0201881,0.058136
-0.559676,0.0177023,-0.0320628,-0.0137068,-0.14619,0.00886428,0.058136
-0.531309,-0.0324508,0.0102625,0.0113082,-0.128785,-0.0236766,0.058136
-0.450519,-0.0723947,0.095589,0.038798,-0.115311,-0.0749066,0.058136
-0.415474,-0.146056,0.172727,0.039203,-0.111301,-0.117957,0.058136
-0.389471,-0.178537,0.204233,0.0218462,-0.119845,-0.177405,0.058136
-0.294172,-0.136225,0.215212,0.00566354,-0.128383,-0.263852,0.058136
-0.201584,-0.0360484,0.211533,0.00762672,-0.123806,-0.33865,0.058136
-0.12187,0.119608,0.211778,0.019607,-0.141037,-0.387279,0.058136
-0.0425194,0.145058,0.190227,0.0295626,-0.159413,-0.395765,0.058136
0.00545629,0.0852908,0.0613052,-0.00526661,-0.154687,-0.387193,0.058136
-0.00218312,0.14191,-0.0704525,-0.015525,-0.118973,-0.400601,0.058136
0.00482894,0.400188,-0.134986,0.00207492,-0.0615859,-0.423033,0.058136
-0.0041421,0.53407,-0.0803647,0.0410926,0.00968093,-0.366046,0.058136
0.0462844,0.547111,0.0347931,0.0749773,0.040427,-0.29876,0.058136
0.207871,0.51406,0.15139,0.07789,0.0502683,-0.246369,0.058136
0.408477,0.605771,0.282073,0.0575019,0.051741,-0.191421,0.058136
0.576982,0.745271,0.37317,0.0136231,0.051516,-0.0946044,0.058136
0.678234,0.752872,0.397254,-0.0236001,0.032472,0.0261412,0.058136
0.669004,0.60582,0.310013,-0.0646214,0.0171151,0.132406,0.058136
0.555168,0.347194,0.176912,-0.0756901,0.00961117,0.198359,0.058136
0.397618,0.151733,0.112227,-0.0448587,0.0402338,0.208135,0.058136
0.356416,0.231857,0.0982968,-0.0367851,0.088568,0.12538,0.058136
0.450179,0.418019,0.0841197,-0.0425458,0.129317,0.0671224,0.058136
0.541147,0.546221,0.0784388,-0.0368841,0.16178,0.0908233,0.058136
0.541147,0.546221,0.0784388,-0.0368841,0.16178,0.0908233,0.118912
0.502188,0.462954,0.0629821,-0.0264836,0.17679,0.190176,0.118912
0.418817,0.354802,0.0218402,-0.0236566,0.176685,0.238298,0.118912
0.319501,0.408406,0.0561384,-0.00222096,0.188764,0.23884,0.118912
0.224361,0.483671,0.212881,0.0251004,0.21547,0.252313,0.118912
0.179933,0.439071,0.358871,0.0279562,0.208724,0.268745,0.118912
0.169169,0.334708,0.399493,-0.00689173,0.179206,0.273444,0.118912
0.0705373,0.31266,0.259048,-0.0783532,0.143022,0.284567,0.118912
-0.234022,0.270231,0.120669,-0.086811,0.113315,0.321082,0.118912
-0.563741,0.19546,0.149931,-0.0246059,0.101171,0.310345,0.118912
-0.686549,0.122928,0.215619,-0.00153956,0.0864995,0.205081,0.118912
-0.608942,0.102504,0.241965,-0.0275765,0.0507157,0.0801755,0.118912
-0.462858,0.126046,0.248356,-0.0658646,0.0110017,0.00632906,0.118912
-0.36092,0.178882,0.222504,-0.0969818,-0.0292002,-0.0156277,0.118912
-0.341504,0.193103,0.191128,-0.115536,-0.0756519,0.00865561,0.118912
-0.351523,0.180129,0.126845,-0.142624,-0.107185,0.0304543,0.118912
-0.348036,0.103108,0.0290571,-0.17245,-0.124074,0.0410612,0.118912
-0.33604,0.0272408,-0.0826172,-0.179227,-0.136477,0.0407776,0.118912
-0.328548,0.0251359,-0.191024,-0.172569,-0.136656,0.0372533,0.118912
-0.386839,0.00137172,-0.303034,-0.151431,-0.129718,0.0572513,0.118912
-0.484955,-0.0358741,-0.411174,-0.117087,-0.132862,0.0738842,0.118912
-0.520707,-0.0707651,-0.467511,-0.0688557,-0.121788,0.0435476,0.118912
-0.497072,-0.145475,-0.48556,-0.0149311,-0.111055,0.00664806,0.118912
-0.4888,-0.234821,-0.479204,0.0430226,-0.113063,-0.0218123,0.118912
-0.530046,-0.319649,-0.450761,0.0920608,-0.102078,-0.0535303,0.118912
-0.570354,-0.415731,-0.414701,0.125375,-0.0909418,-0.109189,0.118912
-0.559956,-0.498672,-0.352897,0.152038,-0.0763662,-0.189636,0.118912
-0.516526,-0.548344,-0.270282,0.174805,-0.0545609,-0.268625,0.118912
-0.406852,-0.412389,-0.152575,0.167972,-0.0126949,-0.344779,0.118912
-0.235986,-0.222883,-0.0416667,0.135975,0.0310191,-0.373576,0.118912
-0.183736,-0.302405,-0.0260586,0.109714,0.0269342,-0.29881,0.118912
-0.330163,-0.616873,-0.120519,0.0763405,-0.00905602,-0.210732,0.118912
-0.519562,-0.776825,-0.31779,0.0161921,-0.0260079,-0.254147,0.118912
-0.580756,-0.605531,-0.450726,0.00446764,-0.0121657,-0.406751,0.118912
-0.419591,-0.275232,-0.474376,0.0126134,0.0210337,-0.501199,0.118912
0.0614176,0.111261,-0.377717,0.0576846,0.0273406,-0.543516,0.118912
0.517029,0.261835,-0.232126,0.0692182,0.0575074,-0.413484,0.118912
0.794513,0.231826,-0.0950725,0.0583143,0.0367078,-0.213817,0.118912
0.908392,0.188435,-0.0771641,-0.00184537,0.022175,-0.0512743,0.118912
