attitude_roll,attitude_pitch,attitude_yaw,rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z
0.018284,0.330288,-0.00304732,0.185541,-0.956852,-0.582223,-0.393164,0.182287,0.14446
0.00286495,0.331975,-0.0195815,-0.0286292,-1.08178,-0.990705,-0.421349,0.168928,0.162666
-0.00930411,0.328373,-0.0448316,-0.351213,-0.931899,-1.39486,-0.405744,0.163598,0.164835
-0.0154204,0.318526,-0.0777067,-0.670325,-0.732591,-1.69583,-0.326191,0.19041,0.160035
-0.0171416,0.303592,-0.115028,-0.855642,-0.598395,-1.81306,-0.214722,0.207047,0.124264
-0.0176365,0.28689,-0.152932,-0.858784,-0.562104,-1.77445,-0.0977245,0.218228,0.0803019
-0.0184044,0.271508,-0.188775,-0.745364,-0.479569,-1.64578,-0.0235153,0.21249,0.0445489
-0.0193637,0.258228,-0.221281,-0.662142,-0.472263,-1.48003,0.0233591,0.184506,0.0614656
-0.0222449,0.246317,-0.250552,-0.588724,-0.519868,-1.34871,0.057674,0.123397,0.0891601
-0.0259225,0.235934,-0.277544,-0.53261,-0.497838,-1.25492,0.0725038,0.0617539,0.106385
-0.0308875,0.225356,-0.302919,-0.617964,-0.598572,-1.20408,0.0793418,0.0142094,0.153266
-0.0380552,0.213194,-0.32779,-0.657466,-0.622665,-1.18856,0.107039,-0.0578575,0.101378
-0.0428511,0.202092,-0.352358,-0.550728,-0.334858,-1.16108,0.116917,-0.0769753,-0.0171001
-0.0426106,0.192915,-0.37531,-0.477219,-0.108092,-1.04362,0.128706,-0.0762088,-0.052797
-0.0393182,0.184659,-0.395492,-0.435572,0.0468622,-0.913788,0.152608,-0.110608,-0.0684505
-0.0348236,0.176991,-0.413187,-0.395756,0.0658533,-0.803078,0.152132,-0.134234,-0.0859973
-0.0309021,0.170649,-0.428421,-0.269963,0.0861529,-0.683211,0.144004,-0.155754,-0.140881
-0.0256905,0.167744,-0.441347,-0.0641357,0.225731,-0.596765,0.117002,-0.162235,-0.199847
-0.0186247,0.168364,-0.452732,0.0694067,0.283295,-0.538797,0.114201,-0.17792,-0.194532
-0.011703,0.170105,-0.463117,0.0682137,0.226683,-0.493372,0.111403,-0.184138,-0.175847
-0.0064707,0.170633,-0.472878,-0.0333571,0.138743,-0.480148,0.0792527,-0.171059,-0.182665
-0.00149716,0.169089,-0.482798,-0.109111,0.231623,-0.504878,0.0514178,-0.166509,-0.22404
0.00744424,0.167531,-0.493126,-0.017272,0.512831,-0.513094,0.039474,-0.144928,-0.271413
0.0226446,0.169096,-0.503174,0.193497,0.830592,-0.467026,0.0427285,-0.105986,-0.252964
0.0425846,0.174566,-0.511575,0.365262,0.996304,-0.334629,0.0695712,-0.0698189,-0.138955
0.0631747,0.182297,-0.516861,0.417631,0.934182,-0.138441,0.0988479,-0.0410319,0.00540918
0.0798401,0.190887,-0.518181,0.456279,0.710473,0.0659616,0.113771,-0.029692,0.105296
0.0915641,0.2008,-0.516073,0.514016,0.509919,0.214679,0.0894324,-0.0131779,0.144443
0.0991723,0.212058,-0.511817,0.56372,0.346632,0.299912,0.0544226,0.00925478,0.167392
0.103527,0.223939,-0.506412,0.551024,0.203782,0.335989,0.0297467,0.0268054,0.176933
0.103825,0.234286,-0.500707,0.40845,-0.0743589,0.327289,0.0256423,0.0287795,0.186559
0.0966328,0.240914,-0.494995,0.17995,-0.547248,0.281417,0.0380788,0.0225559,0.155463
0.078812,0.24179,-0.490269,-0.135293,-1.10532,0.175528,0.0138002,0.0346834,0.0581986
0.0534718,0.236953,-0.488155,-0.329995,-1.31248,-0.0153574,-0.025189,0.0409554,-0.139714
0.0305444,0.230626,-0.490507,-0.256238,-0.950477,-0.23381,-0.056846,0.0597336,-0.363906
0.0200259,0.227583,-0.496152,-0.0363647,-0.208527,-0.28081,-0.0551527,0.136039,-0.466792
0.0241642,0.228958,-0.499491,0.175436,0.512416,0.00214799,0.0197578,0.212864,-0.382246
0.0377213,0.234331,-0.495572,0.343623,0.868158,0.381425,0.0773626,0.241607,-0.178397
0.0531478,0.243009,-0.485417,0.470539,0.881832,0.62303,0.0493139,0.205865,0.0287877
0.0655629,0.253865,-0.472037,0.524229,0.670499,0.719694,-0.00291497,0.156222,0.191104
0.0722328,0.265069,-0.458148,0.489695,0.349254,0.678754,-0.0466849,0.1163,0.299212
0.0722609,0.274576,-0.446215,0.3635,-0.0382795,0.526471,-0.0688222,0.072286,0.364737
0.0651359,0.280531,-0.438052,0.169944,-0.43751,0.290414,-0.0707394,0.0338545,0.379403
0.0528461,0.282253,-0.434789,-0.0152455,-0.670877,0.0360628,-0.079128,0.0155956,0.330351
0.0388161,0.280364,-0.436188,-0.164966,-0.765553,-0.166583,-0.0778948,0.0269339,0.241161
0.0240947,0.276274,-0.441067,-0.21497,-0.832282,-0.310097,-0.0498359,0.0440738,0.141029
0.00973714,0.272433,-0.44881,-0.147439,-0.777306,-0.446195,-0.021707,0.0567038,0.0454403
-0.000625497,0.270938,-0.459019,0.014079,-0.509577,-0.53273,-0.00720982,0.0772205,-0.0247305
-0.00405735,0.273724,-0.470116,0.263748,-0.143439,-0.52606,0.012497,0.107996,-0.03948
-0.00187406,0.281315,-0.480242,0.481335,0.0630827,-0.449686,0.0475615,0.144242,0.0483056
0.00296221,0.292459,-0.488794,0.618622,0.178596,-0.375717,0.0700853,0.150169,0.175689
0.00296221,0.292459,-0.488794,0.618622,0.178596,-0.375717,0.0700853,0.150169,0.175689
0.00973047,0.305194,-0.496096,0.643107,0.288591,-0.321221,0.0669217,0.149676,0.302041
0.0186861,0.317277,-0.502924,0.562902,0.3899,-0.315999,0.0473721,0.136504,0.402804
0.0290379,0.327216,-0.510202,0.440586,0.39504,-0.360882,0.0319092,0.119061,0.470651
0.0382953,0.334161,-0.518923,0.283679,0.219438,-0.441969,0.0380353,0.0922133,0.509011
0.0435463,0.338231,-0.528903,0.164045,-0.0103177,-0.475838,0.06631,0.0706189,0.482442
0.0450674,0.3399,-0.539046,0.0459533,-0.145404,-0.473259,0.0717832,0.0764497,0.417981
0.0472877,0.339212,-0.548784,-0.0810815,0.112753,-0.4416,0.0533239,0.069225,0.28817
0.0572653,0.334981,-0.556999,-0.328216,0.61592,-0.356364,0.065744,0.0470896,0.155622
0.0749218,0.324426,-0.563775,-0.692402,0.857065,-0.383696,0.0567843,-0.0194916,0.0512691
0.0932747,0.306643,-0.57226,-1.0207,0.660262,-0.60847,0.0719413,-0.168355,-0.0828506
0.104152,0.280002,-0.587357,-1.53571,-0.0694501,-1.14625,-0.027176,-0.262782,-0.271631
0.101132,0.241017,-0.613507,-2.04223,-0.881717,-1.74891,-0.0766636,-0.300983,-0.536124
0.0859153,0.195754,-0.647579,-2.07554,-1.30028,-1.90216,0.0120359,-0.166517,-0.886852
0.0670815,0.155763,-0.678882,-1.62824,-1.00448,-1.37696,0.111255,0.0989819,-1.16309
0.0571125,0.129424,-0.69464,-0.885903,-0.182809,-0.286994,0.221442,0.202427,-1.23522
0.0614952,0.120629,-0.687504,-0.0430197,0.660563,0.909244,0.236567,0.148444,-1.0595
0.075596,0.128407,-0.661648,0.59095,0.975631,1.61621,0.0806458,0.0416894,-0.711993
0.0891854,0.14595,-0.628399,0.827754,0.802718,1.75245,-0.130463,-0.0900261,-0.338462
0.0973644,0.165342,-0.596874,0.797697,0.511155,1.48206,-0.291609,-0.21038,-0.061156
0.101325,0.182746,-0.574144,0.709759,0.294239,0.896047,-0.386409,-0.279588,0.118045
0.104144,0.196605,-0.564128,0.558124,0.189543,0.235091,-0.386087,-0.289156,0.249714
0.108262,0.205634,-0.5659,0.350917,0.20934,-0.274167,-0.317215,-0.237829,0.350398
0.114897,0.209328,-0.574727,0.117328,0.266485,-0.500886,-0.228628,-0.137748,0.425594
0.12281,0.209056,-0.585112,0.00125343,0.312323,-0.487412,-0.146538,-0.0401444,0.445149
0.130555,0.208279,-0.593689,0.0479028,0.266199,-0.344483,-0.0835024,0.0196126,0.439224
0.136487,0.209981,-0.599168,0.196518,0.219641,-0.166855,-0.0439176,0.0495816,0.424674
0.140737,0.214901,-0.601565,0.303488,0.156788,-0.00520372,-0.0234291,0.0710389,0.438285
0.143729,0.221259,-0.601175,0.293159,0.163519,0.124096,-0.0172455,0.069037,0.473756
0.146405,0.226345,-0.598376,0.157583,0.161213,0.215387,-0.0190994,0.0618658,0.502444
0.148407,0.228719,-0.593254,0.0119487,0.153065,0.324067,-0.0138698,0.0606685,0.49879
0.148997,0.22913,-0.585185,-0.0684488,0.0805482,0.462699,-0.000569493,0.0684545,0.46222
0.147404,0.229588,-0.574465,-0.0243728,0.0144939,0.578425,-0.0104484,0.0562199,0.391683
0.14356,0.231363,-0.561897,0.0110219,-0.142067,0.658748,-0.0174442,0.0469774,0.345681
