rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z,relativeAltitude
0.291032,-0.0651914,-1.03937,-0.00471623,-0.0407838,0.178593,0
0.237276,-0.277993,-0.730623,0.0190443,-0.0504825,0.262224,0
0.135816,-0.204141,-0.464031,0.0234012,-0.0382778,0.336872,0
0.0997368,-0.0412192,-0.226289,0.00846106,-0.0266858,0.353941,0
0.240064,0.0745035,-0.071973,0.00415663,-0.0190163,0.350737,0
0.501193,0.080626,0.00402808,0.0209478,-0.00161645,0.350648,0
0.717957,-0.0956728,0.065077,0.0474127,-0.00567791,0.341323,0
0.880543,-0.184663,0.114564,0.0450461,-1.95503e-05,0.31651,0
1.01778,-0.135216,0.172589,0.00265021,0.0243866,0.299379,0
1.04666,-0.0417769,0.264661,-0.0305982,0.0510726,0.280702,0
0.939053,0.0234941,0.373499,-0.0296407,0.040769,0.219699,0
0.813064,0.08248,0.474147,-0.0476246,0.0538262,0.134199,0
0.784056,0.243614,0.53358,-0.0728548,0.112414,0.0417882,0
0.950431,0.643723,0.771765,-0.0720406,0.0545553,0.0323379,0
0.916331,0.706381,1.03877,-0.0218433,-0.0475864,-0.0793766,0
0.431228,0.195583,1.03661,0.0177177,-0.0690824,-0.242638,0
-0.432378,-0.371617,0.820921,0.0884664,-0.206161,-0.396422,0
-1.59307,-1.44492,-0.211035,0.136447,-0.218323,-0.739795,0
-2.07027,-1.46434,-1.39532,-0.0500787,0.0353285,-0.714075,0
-1.73859,-0.558085,-1.81496,-0.130426,0.139665,-0.635458,0
-1.12264,0.478561,-1.39276,-0.0436073,0.099233,-0.392108,0
-0.757485,0.917554,-0.532899,0.0613791,-0.0422222,-0.190981,0
-0.685619,0.765482,0.195477,0.122464,-0.152905,-0.0480924,0
-0.709862,0.273987,0.520816,0.106549,-0.222527,0.0681005,0
-0.723939,-0.377598,0.383928,0.0644423,-0.229426,0.113101,0
-0.690506,-0.931673,0.0259962,0.0258527,-0.228285,0.121029,0
-0.437217,-1.17818,-0.316077,0.0109641,-0.164351,0.122665,0
0.0815452,-1.04425,-0.440248,-0.00619879,-0.0862214,0.130658,0
0.650428,-0.660193,-0.379287,0.0135103,-0.0167824,0.17351,0
1.04827,-0.387846,-0.215654,0.0408144,0.00962092,0.217977,0
1.13413,-0.262444,-0.186847,0.0532744,0.0601146,0.218918,0
1.07945,-0.221396,-0.332959,0.0349378,0.107997,0.228952,0
1.06466,-0.231978,-0.634785,0.0296612,0.160664,0.228064,0
1.19994,-0.161612,-0.957669,0.0336071,0.203276,0.256621,0
1.33348,-0.0292661,-1.16539,0.0539072,0.240737,0.297747,0
1.36408,0.12851,-1.20828,0.0624587,0.269063,0.326005,0
1.20561,0.278051,-1.17046,0.0775451,0.264971,0.300058,0
0.980349,0.600923,-1.00642,0.12304,0.157551,0.275791,0
0.521075,0.637325,-0.846705,0.212304,-0.104997,0.143957,0
