rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z,relativeAltitude
-0.831679,-0.680355,0.137432,0.154951,-0.0530835,-0.165416,0
-0.789229,0.15068,-0.0679351,0.0807309,-0.0705483,0.0686837,0
-0.50773,0.690316,-0.164428,0.0881916,-0.0704886,0.0997345,0
-0.0216813,0.527816,-0.0875106,0.130937,-0.100059,-0.0419392,0
0.447653,0.0731687,0.0515781,0.149356,-0.0858604,-0.0701036,0
0.68681,-0.320777,0.153551,0.122013,-0.0672917,0.0232193,0
0.676144,-0.365897,0.137111,0.0692111,-0.0295813,0.179317,0
0.509055,-0.217834,0.0179341,0.0292677,0.00973704,0.310896,0
0.30511,-0.0385498,-0.125187,0.00577337,0.0230043,0.381185,0
0.110544,0.188966,-0.188633,0.0139991,0.0163847,0.394064,0
-0.0301255,0.25177,-0.17255,0.0235884,-0.00689918,0.331842,0
-0.110982,0.206795,-0.109739,0.0465771,-0.00531073,0.246027,0
-0.167447,0.109804,-0.100788,0.0569799,0.00672165,0.158721,0
-0.152215,0.0181467,-0.198766,0.0432834,0.0333633,0.133139,0
-0.0410281,-0.18689,-0.297174,0.0407906,0.043823,0.108634,0
0.145869,-0.375161,-0.357915,0.0576082,0.0472375,0.173652,0
0.315196,-0.421051,-0.411503,0.0577764,0.0363024,0.286997,0
0.423015,-0.388887,-0.496781,0.058129,0.0294974,0.406334,0
0.430352,-0.291151,-0.560539,0.0550838,0.022081,0.491739,0
0.361058,0.00663216,-0.573276,0.0542283,0.00526264,0.516949,0
0.316523,0.29126,-0.611807,0.0222499,0.00524093,0.456088,0
0.301012,0.302822,-0.585021,0.0716064,0.02031,0.298531,0
0.305399,0.0142688,-0.453963,0.0709369,-0.0076292,0.0786937,0
0.205306,-0.324305,-0.311318,0.0460679,0.00590008,-0.102107,0
-0.134358,-0.398434,-0.205399,0.0180825,0.0458841,-0.216658,0
-0.533752,0.168565,-0.10887,-0.0109838,0.0303451,-0.303732,0
-0.682271,0.63532,0.0307153,-0.0801546,-0.0188317,-0.508404,0
-0.642253,0.603846,0.135282,-0.0765932,0.0291785,-0.758358,0
-0.582023,0.442655,0.0734373,-0.0585437,0.0781465,-0.903073,0
-0.480455,0.272084,0.0350523,-0.03964,0.0752343,-0.912971,0
-0.398111,0.016338,0.176343,-0.00321417,0.0175805,-0.852275,0
-0.347913,-0.23203,0.309699,-0.0132816,-0.0240346,-0.707953,0
-0.279567,-0.420572,0.316366,-0.0326457,-0.0159695,-0.50161,0
-0.223563,-0.374958,0.272403,-0.0296498,-0.00172499,-0.269722,0
-0.163708,-0.154617,0.21659,-0.0244316,-0.0206138,-0.0639962,0
-0.110506,0.0916381,0.19032,-0.0212682,-0.0463167,0.0872668,0
-0.0786424,0.21294,0.189531,-0.0140318,-0.0619074,0.183817,0
-0.109707,0.151424,0.196487,-0.0083494,-0.0693994,0.23618,0
-0.192313,-0.0517982,0.2073,0.00577038,-0.0727863,0.268595,0
-0.230855,-0.237457,0.21562,0.00983,-0.0839069,0.307977,0
-0.19835,-0.296886,0.195646,-0.0111539,-0.0869887,0.350357,0
-0.107231,-0.205041,0.120116,-0.0327097,-0.0798445,0.401033,0
0.054478,-0.00128177,0.062344,-0.0496651,-0.0718286,0.454351,0
0.234091,0.201847,0.0778562,-0.0598373,-0.0810726,0.469468,0
0.388219,0.34395,0.114616,-0.0746317,-0.086015,0.451434,0
0.509498,0.34259,0.171393,-0.0652036,-0.0696173,0.391055,0
0.631179,0.0977633,0.237246,-0.0550823,-0.0536384,0.309122,0
0.703271,-0.120341,0.293264,-0.0534558,-0.0275127,0.301256,0
0.680826,-0.221741,0.327855,-0.0524844,-0.00222182,0.339838,0
0.564261,-0.284539,0.369312,-0.05542,0.00614046,0.370988,0
0.40983,-0.082562,0.446211,-0.0605995,0.00860099,0.384891,0
0.271222,0.297902,0.562842,-0.0468283,0.00928499,0.329986,0
0.231903,0.390312,0.659726,-0.031248,0.0301737,0.1411,0
0.231903,0.390312,0.659726,-0.031248,0.0301737,0.1411,0
0.229131,0.096845,0.678876,-0.0499033,0.0847987,-0.150718,0
0.122764,-0.272541,0.615977,-0.0648088,0.128069,-0.344594,0
-0.133278,-0.465493,0.490312,-0.0788602,0.096397,-0.460293,0
-0.473598,-0.272265,0.471177,-0.0755087,0.0377842,-0.53351,0
-0.679871,0.0593633,0.59425,-0.0514629,-0.032102,-0.638161,0
-0.713966,0.109357,0.691983,-0.0237866,-0.033655,-0.771497,0
-0.682489,-0.0531031,0.524716,-0.0277537,0.0544014,-0.805912,0
-0.57267,-0.255328,0.163904,-0.0197453,0.120251,-0.699364,0
-0.371165,-0.376523,-0.197582,-0.000656664,0.0933535,-0.517198,0
-0.0920632,-0.382658,-0.372933,0.0220494,-0.00286567,-0.289262,0
0.156376,-0.355451,-0.424312,0.0425408,-0.0712447,-0.0748726,0
0.220279,-0.155243,-0.495743,0.0548274,-0.0830342,0.142347,0
0.157307,0.225363,-0.609953,0.0435257,-0.0848411,0.317886,0
0.108923,0.376854,-0.64989,0.04043,-0.109497,0.354885,0
0.12393,0.285371,-0.561874,0.0700911,-0.129021,0.315898,0
0.192239,0.092395,-0.477346,0.0734016,-0.125086,0.289459,0
0.328148,-0.08723,-0.490275,0.0372951,-0.0885811,0.273142,0
0.517361,-0.218238,-0.568883,0.0120357,-0.0455562,0.274753,0
0.707873,-0.302225,-0.664277,0.00514734,-0.00533688,0.320214,0
0.787887,-0.386743,-0.704013,0.0052283,0.00826415,0.382427,0
0.698681,-0.434374,-0.684164,0.0199837,0.0141123,0.44796,0
0.465793,-0.243816,-0.67785,0.0266225,0.029875,0.528483,0
0.175862,0.0200917,-0.71183,0.00917198,0.0465883,0.532885,0
0.0179034,0.210985,-0.802278,0.0175486,0.0857269,0.406836,0
-0.0213119,0.408797,-0.840739,0.0621469,0.127131,0.20654,0
0.0554117,0.59411,-0.81411,0.0850061,0.128508,-0.0424602,0
0.147036,0.597238,-0.672788,0.0858536,0.101031,-0.326267,0
0.0910772,0.436337,-0.48846,0.0620365,0.0556087,-0.502467,0
-0.157332,0.18362,-0.334667,0.0243436,0.0202543,-0.578871,0
-0.439203,0.105033,-0.218657,0.0218154,0.0130759,-0.60164,0
-0.517607,0.353912,-0.0638511,0.0431558,-0.0116969,-0.600913,0
-0.435964,0.476957,0.191696,0.0410569,-0.0552481,-0.648846,0
-0.412602,0.270494,0.422895,0.0143034,-0.0646521,-0.671679,0
-0.481396,-0.0769829,0.492961,-0.0234333,-0.0217124,-0.609927,0
-0.49618,-0.279753,0.438367,-0.0644291,0.0121911,-0.465173,0
-0.417262,-0.264665,0.361576,-0.0903528,0.00853652,-0.282375,0
-0.319222,-0.0418572,0.296136,-0.0976296,-0.0205096,-0.0884578,0
-0.229936,0.190454,0.270947,-0.0885061,-0.0465968,0.0667351,0
