attitude_roll,attitude_pitch,attitude_yaw,rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z
0.0769739,0.0948967,0.243532,-0.379875,0.477898,0.406284,-0.0946946,0.0790227,0.00378346
0.0854602,0.0903661,0.253905,-0.13856,0.451407,0.586676,-0.0754559,0.0572233,0.0100006
0.092727,0.0917916,0.267115,0.167011,0.386238,0.712912,-0.0624039,0.0478092,0.0339773
0.0978699,0.0994002,0.281263,0.44373,0.259461,0.741269,-0.0459467,0.0560544,0.0324163
0.100688,0.111471,0.294939,0.587982,0.168063,0.709925,-0.0295206,0.0526926,0.0447752
0.101062,0.124363,0.307321,0.53543,-0.0147797,0.635396,-0.0276925,0.0519752,0.0279244
0.0969487,0.134693,0.318382,0.364796,-0.251922,0.551721,-0.0423008,0.0502863,-0.00447911
0.0888032,0.140772,0.327837,0.146955,-0.404596,0.42116,-0.0609079,0.0613588,-0.0122371
0.0801755,0.142239,0.334386,-0.0445793,-0.31832,0.228193,-0.0739555,0.0833651,-0.0171089
0.076059,0.140257,0.337279,-0.157319,-0.0356009,0.0476692,-0.0698227,0.0930295,-0.01076
0.0780155,0.136875,0.337528,-0.167189,0.217476,-0.027351,-0.0605144,0.0947456,0.00336587
0.0833435,0.134181,0.337522,-0.0950071,0.278318,0.0146067,-0.048548,0.0812581,0.029472
0.0876432,0.13333,0.338644,0.00185192,0.147,0.0883673,-0.0299304,0.0742658,0.0558478
0.0887866,0.134445,0.340917,0.0870181,0.0181566,0.139879,-0.0200903,0.0510631,0.0726743
0.0887177,0.137028,0.343562,0.14025,0.0277254,0.134483,-0.0391563,0.0208768,0.0991724
0.0893224,0.139999,0.345511,0.121813,0.0466865,0.0712659,-0.0595986,0.00730917,0.121111
0.0895418,0.141653,0.345754,0.0339426,-0.0334703,-0.0357915,-0.0655468,-0.00435798,0.121943
0.0877281,0.140858,0.34394,-0.0969266,-0.173657,-0.149228,-0.0638597,-0.0228759,0.110678
0.0834915,0.137571,0.339751,-0.181591,-0.292267,-0.288762,-0.0550035,-0.0414662,0.0718946
0.0782826,0.133325,0.332777,-0.168051,-0.305784,-0.427783,-0.053949,-0.0332531,0.0369792
0.0738351,0.129915,0.323158,-0.0984673,-0.257219,-0.539588,-0.0619769,-0.0072605,0.0142467
0.0704149,0.127742,0.311612,-0.0354931,-0.234399,-0.604993,-0.0595295,0.00653012,-0.011323
0.0671896,0.126654,0.298992,0.0124339,-0.257045,-0.643842,-0.0439419,0.00227724,-0.0349675
0.0632937,0.126533,0.285503,0.0648459,-0.295196,-0.684321,-0.0312363,0.00969477,-0.0549029
0.0589844,0.127389,0.271115,0.106431,-0.308727,-0.731678,-0.0486153,0.0262152,-0.066545
0.055215,0.129148,0.25557,0.163697,-0.245215,-0.785607,-0.0689638,0.0383502,-0.0902988
0.0539585,0.132568,0.239063,0.26924,-0.0859478,-0.812041,-0.0669631,0.0293208,-0.081918
0.0552556,0.138027,0.22219,0.348355,-0.0448888,-0.818098,-0.0509486,0.0241859,-0.0405328
0.0561875,0.143928,0.205022,0.316376,-0.0934198,-0.842599,-0.0642291,0.035293,-0.0301054
0.0568274,0.148244,0.187137,0.196238,-0.11129,-0.899263,-0.0823427,0.0222443,0.0107203
0.0564297,0.148959,0.167625,-0.0289536,-0.219515,-1.02922,-0.0909467,0.0179465,0.011705
0.0547075,0.144222,0.144739,-0.316353,-0.269104,-1.25003,-0.117971,0.0441138,0.00417435
0.0532691,0.13398,0.117853,-0.540105,-0.242422,-1.43457,-0.122179,0.0515025,0.00606608
0.0520508,0.120388,0.0885985,-0.637127,-0.259413,-1.4997,-0.109695,0.0590624,-0.0106881
0.0502709,0.106481,0.0591701,-0.571378,-0.22139,-1.46061,-0.0975726,0.0710018,-0.0340958
0.0499642,0.0954812,0.0312887,-0.376216,-0.0829094,-1.34471,-0.0789061,0.0681452,-0.0369556
