rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z,relativeAltitude,altitude_pressure
-0.141225,0.0382487,-0.0729145,0.0150968,0.0134946,0.101271,0.001,0.0001
-0.107532,-0.0419412,-0.0829017,0.0155612,0.00488994,0.0787141,0.001,0.0001
-0.0353401,-0.0623696,-0.123762,0.00355893,-0.00981966,0.057823,0.001,0.0001
0.00764646,-0.0668208,-0.202024,-0.00317225,-0.0209506,0.0516708,0.001,0.0001
-0.000416746,-0.0576867,-0.252936,0.0100338,-0.0406476,0.0604934,0.001,0.0001
-0.0502068,-0.0384766,-0.288131,0.0264496,-0.058606,0.0698905,0.001,0.0001
-0.142126,-0.0753041,-0.329668,0.0313465,-0.0654724,0.0687141,0.001,0.0001
-0.212916,-0.115353,-0.411622,0.0321464,-0.0774888,0.0337761,0.001,0.0001
-0.210931,-0.143497,-0.491766,0.04064,-0.0858187,-0.00444818,0.001,0.0001
-0.175497,-0.205113,-0.555074,0.0407933,-0.0751984,-0.0446817,0.001,0.0001
-0.139002,-0.243322,-0.568374,0.0561326,-0.0615873,-0.0688557,0.001,0.0001
-0.124816,-0.195944,-0.507649,0.0748528,-0.063872,-0.0779008,0.001,0.0001
-0.120942,-0.204086,-0.448113,0.0807963,-0.0864364,-0.0767402,0.001,0.0001
-0.214501,-0.365073,-0.490818,0.0463668,-0.0654211,-0.0860689,0.001,0.0001
-0.402851,-0.454141,-0.603051,0.0243554,-0.0633753,-0.100745,0.001,0.0001
-0.543367,-0.405432,-0.684575,0.0142339,-0.0554309,-0.144937,0.001,0.0001
-0.506656,-0.286271,-0.664082,0.0212832,-0.0211778,-0.185197,0.001,0.0001
-0.282421,-0.127783,-0.524994,0.0389931,0.00376093,-0.182182,0.001,0.0001
-0.0200527,0.0154073,-0.361016,0.0407744,0.0108626,-0.139135,0.001,0.0001
0.112176,0.00539212,-0.23523,0.0191351,0.0141152,-0.0878906,0.001,0.0001
0.131539,-0.114905,-0.16221,-0.00572157,0.0187656,-0.0576456,0.001,0.0001
0.0968632,-0.241842,-0.16393,-0.0441419,0.0233445,-0.0513399,0.001,0.0001
0.0763574,-0.234241,-0.234051,-0.0992323,0.0425149,-0.0500927,0.001,0.0001
0.116318,-0.223313,-0.291459,-0.133922,0.0702719,-0.0416732,0.001,0.0001
0.180456,-0.260914,-0.355988,-0.152509,0.0746169,-0.0105928,0.001,0.0001
0.235627,-0.489868,-0.434592,-0.17055,0.0772479,-0.001683,0.001,0.0001
0.288125,-0.721042,-0.528737,-0.172824,0.0926,0.0138603,0.001,0.0001
0.287875,-0.889827,-0.544828,-0.155962,0.124975,0.012836,0.001,0.0001
0.289317,-0.827117,-0.477442,-0.124801,0.143192,0.018087,0.001,0.0001
0.293897,-0.790904,-0.354367,-0.113668,0.134424,0.012351,0.001,0.0001
0.302159,-0.769821,-0.347007,-0.12439,0.130175,0.0435494,0.001,0.0001
0.252524,-0.688207,-0.458924,-0.114581,0.115113,0.0777366,0.001,0.0001
0.157864,-0.485124,-0.509465,-0.0794099,0.0709004,0.11737,0.001,0.0001
0.0580955,-0.274074,-0.552075,-0.0676521,0.0621922,0.145001,0.001,0.0001
-0.0269554,-0.157687,-0.630296,-0.0572921,0.0512735,0.147269,0.001,0.0001
-0.0895159,0.154199,-0.634175,-0.0133778,0.0141115,0.143651,0.001,0.0001
-0.281921,0.551875,-0.476224,0.0286979,-0.0319511,0.159204,0.001,0.0001
-0.476892,0.773546,-0.444561,0.00817413,-0.0134885,0.12769,0.001,0.0001
-0.550826,0.887278,-0.44229,0.00296033,-0.0194349,0.101742,0.001,0.0001
-0.499146,0.56016,-0.39184,-0.0192078,-0.0581159,-0.0156844,0.001,0.0001
-0.281953,0.262937,-0.342351,-0.0119804,-0.0618589,-0.0469753,0.001,0.0001
-0.0513403,-0.0755288,-0.255944,-0.00444823,-0.0639938,-0.0739427,0.001,0.0001
0.145295,-0.206844,-0.0889331,0.0192201,-0.0721902,-0.0437378,0.001,0.0001
0.232354,-0.206425,0.0738137,0.0164472,-0.0700745,0.01214,0.001,0.0001
0.204398,-0.161383,0.199059,0.0247468,-0.0703557,0.0386798,0.001,0.0001
0.078463,0.146898,0.32441,0.0555677,-0.077627,0.0818105,0.001,0.0001
-0.063486,0.482689,0.46049,0.0535518,-0.0788371,0.0599493,0.001,0.0001
-0.170924,0.765444,0.581216,0.0517155,-0.0826322,0.0596187,0.001,0.0001
-0.315694,0.890632,0.683026,0.0391779,-0.101553,0.0562607,0.001,0.0001
-0.442897,0.764164,0.723005,0.01145,-0.112605,0.0372092,0.001,0.0001
-0.456011,0.527644,0.68583,-0.0226449,-0.117439,0.0015831,0.001,0.0001
-0.382199,0.264824,0.614844,-0.049712,-0.121854,-0.0329206,0.001,0.0001
-0.382199,0.264824,0.614844,-0.049712,-0.121854,-0.0329206,0.00793457,-0.00012207
-0.290993,-0.014001,0.541286,-0.0868379,-0.11036,-0.056348,0.00793457,-0.00012207
-0.0941103,-0.254011,0.406548,-0.12301,-0.067706,-0.103185,0.00793457,-0.00012207
0.0251291,-0.143891,0.360862,-0.101249,-0.061746,-0.0635012,0.00793457,-0.00012207
-0.0653283,-0.00805659,0.402261,-0.0594502,-0.0659469,-0.0416453,0.00793457,-0.00012207
-0.136875,0.107467,0.429789,-0.0520003,-0.0297961,-0.0675837,0.00793457,-0.00012207
