rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z,relativeAltitude,altitude_pressure
0.0930033,-0.146971,-0.312,0.0201408,-0.0349741,-0.0970703,0.001,0.0001
0.17102,-0.0665904,-0.271961,0.0229081,-0.0394498,-0.0629925,0.001,0.0001
0.180571,-0.0756955,-0.26496,0.00494252,-0.0415545,-0.0260016,0.001,0.0001
0.159268,-0.0765987,-0.289142,-0.00810611,-0.045994,-0.00433493,0.001,0.0001
0.116641,-0.0999748,-0.351959,-0.0178904,-0.0401731,0.0115657,0.001,0.0001
0.0507871,-0.103984,-0.406222,-0.0243092,-0.0221959,0.0185623,0.001,0.0001
-0.0261373,-0.0872438,-0.410003,-0.018727,-0.0134341,0.0213833,0.001,0.0001
-0.0890475,-0.0847171,-0.379108,-0.00180455,-0.00695845,0.0129392,0.001,0.0001
-0.121688,-0.070028,-0.347428,-0.00156594,-0.00509822,0.00764465,0.001,0.0001
-0.122006,-0.0249583,-0.323121,-0.00620747,-0.0005624,-0.00304013,0.001,0.0001
-0.116446,-0.0118875,-0.274233,-0.0122914,0.00804532,0.00618815,0.001,0.0001
-0.0948288,-0.0416798,-0.20158,0.00432378,-0.00432226,0.00581354,0.001,0.0001
-0.0433089,-0.0395522,-0.163381,-0.00795127,-0.0170778,-0.00261676,0.001,0.0001
0.0308237,-0.0330324,-0.159649,-0.0205652,-0.0333835,-0.00482607,0.001,0.0001
0.0854194,-0.00316547,-0.183488,-0.022469,-0.0438396,-0.0124438,0.001,0.0001
0.106415,0.0100763,-0.198235,-0.0330174,-0.047174,-0.00617903,0.001,0.0001
0.0965379,-0.00533355,-0.199491,-0.0258121,-0.0556222,-0.00502795,0.001,0.0001
0.078381,-0.0281369,-0.199591,-0.0228797,-0.0560302,-0.00938565,0.001,0.0001
0.0641039,0.0350226,-0.225428,-0.0413616,-0.0593108,-0.0156444,0.001,0.0001
0.0433379,0.101248,-0.266375,-0.0507821,-0.0613788,-0.0146235,0.001,0.0001
0.0153886,0.114174,-0.301747,-0.0474793,-0.0571648,-0.00779456,0.001,0.0001
0.00452727,0.0955923,-0.297702,-0.0363484,-0.0552245,-9.97186e-05,0.001,0.0001
0.0096093,0.0563489,-0.267029,-0.0258639,-0.0417108,0.00343084,0.001,0.0001
0.0275083,0.0416202,-0.214325,-0.0271132,-0.0321639,0.00446069,0.001,0.0001
0.0621334,0.0368952,-0.157546,-0.0278753,-0.0260217,0.000107646,0.001,0.0001
0.10847,-0.00708152,-0.109088,-0.0306373,-0.024883,-0.00619483,0.001,0.0001
0.155576,-0.0396717,-0.0688851,-0.0313308,-0.0362146,-0.0164656,0.001,0.0001
0.18812,-0.0876916,-0.0616987,-0.0516566,-0.0440878,-0.0298657,0.001,0.0001
0.209029,-0.0862936,-0.082284,-0.0694087,-0.0538126,-0.0445482,0.001,0.0001
0.217017,-0.0101133,-0.132906,-0.0929229,-0.0521222,-0.0575577,0.001,0.0001
0.224345,0.0982693,-0.183968,-0.113723,-0.049885,-0.0559698,0.001,0.0001
0.231897,0.210949,-0.246619,-0.132681,-0.0397589,-0.0295629,0.001,0.0001
0.239062,0.255232,-0.316217,-0.133586,-0.0240399,0.012916,0.001,0.0001
0.245362,0.257032,-0.372379,-0.124412,-0.00497094,0.0526788,0.001,0.0001
0.234247,0.20061,-0.402697,-0.108587,0.00909472,0.0914318,0.001,0.0001
0.17969,0.0494337,-0.408677,-0.0844032,0.0175171,0.113315,0.001,0.0001
0.0977917,-0.142918,-0.369085,-0.045943,0.0162826,0.114043,0.001,0.0001
-0.00197293,-0.255987,-0.33425,-0.0361609,0.0134199,0.0924996,0.001,0.0001
-0.102694,-0.249701,-0.33509,-0.0571378,0.0127301,0.0495541,0.001,0.0001
-0.162593,-0.180325,-0.346165,-0.064974,0.00442222,0.00877303,0.001,0.0001
-0.150373,-0.118353,-0.333804,-0.0560914,0.00633681,-0.0279821,0.001,0.0001
-0.0737355,-0.0524372,-0.297778,-0.0541822,0.00422117,-0.049895,0.001,0.0001
0.0260285,-0.0058127,-0.268751,-0.0612161,0.00106436,-0.0588036,0.001,0.0001
0.115968,0.0460754,-0.259003,-0.0698064,-0.00627488,-0.0525951,0.001,0.0001
0.150762,0.0815945,-0.271932,-0.0772088,-0.0135934,-0.0354906,0.001,0.0001
0.123997,0.0526054,-0.278064,-0.0703706,-0.022647,-0.0137395,0.001,0.0001
0.0727776,-0.0204701,-0.274588,-0.0680114,-0.0300355,-0.00459087,0.001,0.0001
0.035886,-0.0743052,-0.280314,-0.0669962,-0.0435912,-0.0158377,0.001,0.0001
0.0228278,-0.0917078,-0.324201,-0.0827233,-0.0475641,-0.0347258,0.001,0.0001
0.0285516,-0.0529099,-0.359272,-0.0870145,-0.0547777,-0.0588462,0.001,0.0001
0.0637644,0.00937775,-0.383527,-0.0895469,-0.0503262,-0.0705121,0.001,0.0001
0.0637644,0.00937775,-0.383527,-0.0895469,-0.0503262,-0.0705121,0.029068,-0.000343323
0.126954,0.0761512,-0.416711,-0.0994795,-0.0417681,-0.0652484,0.029068,-0.000343323
0.184253,0.164511,-0.45473,-0.11532,-0.0282223,-0.0483996,0.029068,-0.000343323
0.232332,0.17267,-0.474303,-0.114012,-0.0126561,-0.0105128,0.029068,-0.000343323
0.278209,0.0890544,-0.488502,-0.107903,-0.0014112,0.0216464,0.029068,-0.000343323
0.317058,-0.0370728,-0.511614,-0.111158,0.00472084,0.0402688,0.029068,-0.000343323
0.351645,-0.13745,-0.564555,-0.109194,0.0110357,0.0403079,0.029068,-0.000343323
0.340639,-0.201007,-0.641323,-0.104535,0.0243566,0.0388006,0.029068,-0.000343323
0.286448,-0.260479,-0.680258,-0.0831946,0.0416541,0.0325676,0.029068,-0.000343323
0.236597,-0.337805,-0.655877,-0.0490761,0.053009,0.0142106,0.029068,-0.000343323
0.215289,-0.348521,-0.614652,-0.0369295,0.0565741,-0.0125327,0.029068,-0.000343323
0.242875,-0.351863,-0.595883,-0.0366481,0.0573563,-0.038686,0.029068,-0.000343323
0.31692,-0.34802,-0.605797,-0.0347607,0.0539176,-0.0552952,0.029068,-0.000343323
0.389908,-0.418529,-0.616179,-0.0300489,0.0499958,-0.0581567,0.029068,-0.000343323
0.426803,-0.514735,-0.619731,-0.0152985,0.0503062,-0.0556909,0.029068,-0.000343323
0.406272,-0.580172,-0.61931,-0.00900911,0.0505421,-0.0577745,0.029068,-0.000343323
0.361607,-0.576502,-0.63085,-0.00955066,0.051274,-0.0723086,0.029068,-0.000343323
0.319207,-0.530516,-0.678028,-0.023953,0.0551962,-0.0825598,0.029068,-0.000343323
0.293253,-0.477134,-0.735052,-0.0256449,0.0575392,-0.0850987,0.029068,-0.000343323
0.281245,-0.441583,-0.782909,-0.0157502,0.0685663,-0.0775598,0.029068,-0.000343323
0.27639,-0.394484,-0.802142,-0.00327997,0.0830937,-0.0599527,0.029068,-0.000343323
0.29088,-0.355081,-0.809354,0.00130875,0.0871458,-0.0348176,0.029068,-0.000343323
0.295384,-0.351057,-0.826406,0.00492369,0.0938432,0.00339663,0.029068,-0.000343323
0.27749,-0.384764,-0.846239,0.0172276,0.0954679,0.0392842,0.029068,-0.000343323
0.233275,-0.448366,-0.876338,0.0307644,0.0915577,0.0681689,0.029068,-0.000343323
0.160257,-0.517842,-0.922501,0.037414,0.0872957,0.0875029,0.029068,-0.000343323
0.0599748,-0.570881,-0.974277,0.0515854,0.0832152,0.0954396,0.029068,-0.000343323
-0.0727066,-0.60771,-1.0068,0.0624675,0.084289,0.0910041,0.029068,-0.000343323
-0.181219,-0.601354,-1.00258,0.08306,0.0792904,0.0696316,0.029068,-0.000343323
-0.229,-0.535329,-1.01008,0.0900536,0.0745797,0.043614,0.029068,-0.000343323
-0.228339,-0.46645,-1.02364,0.100552,0.0691981,0.0275911,0.029068,-0.000343323
-0.222371,-0.426967,-1.01257,0.11587,0.0645027,0.0214673,0.029068,-0.000343323
-0.211157,-0.398637,-0.984757,0.127943,0.0559439,0.0173116,0.029068,-0.000343323
-0.197863,-0.390123,-0.959574,0.131245,0.0468591,0.00926882,0.029068,-0.000343323
-0.18942,-0.390673,-0.938565,0.126371,0.0368173,-0.000166118,0.029068,-0.000343323
-0.191526,-0.373065,-0.923754,0.115125,0.0261979,-0.0171316,0.029068,-0.000343323
-0.200919,-0.353795,-0.890101,0.111186,0.018343,-0.0339448,0.029068,-0.000343323
-0.196079,-0.313648,-0.877417,0.0949191,0.00780836,-0.0481683,0.029068,-0.000343323
-0.191392,-0.262596,-0.899009,0.0765786,-0.00127038,-0.0611842,0.029068,-0.000343323
-0.191516,-0.198885,-0.923146,0.0676831,-0.0114444,-0.0690754,0.029068,-0.000343323
-0.199109,-0.20274,-0.913553,0.0668323,-0.0075976,-0.0674532,0.029068,-0.000343323
-0.212868,-0.234298,-0.859278,0.0661511,-0.00248843,-0.0660913,0.029068,-0.000343323
-0.197063,-0.166827,-0.793967,0.0515567,-0.00773799,-0.0755726,0.029068,-0.000343323
-0.144296,-0.0365225,-0.751351,0.0307628,-0.00506729,-0.0728596,0.029068,-0.000343323
-0.0690094,0.0789497,-0.721823,0.0197446,-0.00667983,-0.0476816,0.029068,-0.000343323
-0.00791075,0.0626981,-0.665081,0.0254513,-0.00391766,0.00264299,0.029068,-0.000343323
0.0296687,-0.0240278,-0.585835,0.034958,-0.0112021,0.0480151,0.029068,-0.000343323
0.0330545,-0.111544,-0.518023,0.0328871,-0.0152659,0.0777608,0.029068,-0.000343323
0.0211387,-0.155453,-0.4676,0.0329968,-0.0235023,0.0912149,0.029068,-0.000343323
-0.00818338,-0.205418,-0.433637,0.0342728,-0.0290216,0.102144,0.029068,-0.000343323
-0.0469274,-0.291792,-0.395492,0.0435513,-0.0374037,0.110498,0.029068,-0.000343323
-0.078081,-0.428631,-0.366333,0.0524519,-0.0517918,0.10492,0.029068,-0.000343323
-0.078081,-0.428631,-0.366333,0.0524519,-0.0517918,0.10492,0.029068,-0.000350952
-0.0955452,-0.547594,-0.342915,0.0598634,-0.069902,0.0735986,0.029068,-0.000350952
-0.0969563,-0.569076,-0.338997,0.0603743,-0.0844244,0.0254765,0.029068,-0.000350952
-0.0752685,-0.541953,-0.347588,0.0595259,-0.0918472,-0.0242355,0.029068,-0.000350952
-0.0347025,-0.451103,-0.35153,0.0587271,-0.098732,-0.061946,0.029068,-0.000350952
0.020586,-0.351143,-0.343413,0.0658282,-0.10806,-0.0822055,0.029068,-0.000350952
0.0898593,-0.267891,-0.356582,0.0670231,-0.111564,-0.0857502,0.029068,-0.000350952
0.161071,-0.195142,-0.36455,0.0692549,-0.111271,-0.06804,0.029068,-0.000350952
0.209336,-0.157946,-0.36584,0.0794439,-0.113319,-0.0430521,0.029068,-0.000350952
0.205519,-0.256334,-0.37351,0.0803566,-0.112644,-0.0162419,0.029068,-0.000350952
0.150781,-0.385498,-0.374034,0.0892452,-0.112597,-0.00628698,0.029068,-0.000350952
0.0562818,-0.453765,-0.373893,0.0881294,-0.110588,-0.0237561,0.029068,-0.000350952
-0.0424994,-0.420282,-0.369413,0.0784449,-0.092018,-0.0592529,0.029068,-0.000350952
-0.0972188,-0.263082,-0.343366,0.0877474,-0.0699329,-0.0935143,0.029068,-0.000350952
-0.0957037,-0.0696985,-0.286372,0.0976804,-0.0426487,-0.102768,0.029068,-0.000350952
-0.0290376,0.102553,-0.182969,0.108759,-0.0104809,-0.0852126,0.029068,-0.000350952
0.0837913,0.146668,-0.00885057,0.140451,0.0195259,-0.0483428,0.029068,-0.000350952
0.226481,0.11685,0.213179,0.148541,0.0459374,-0.00288039,0.029068,-0.000350952
0.382444,0.0942617,0.426265,0.112362,0.0621691,0.0343524,0.029068,-0.000350952
0.510943,0.110713,0.527901,0.0627184,0.0607069,0.0608947,0.029068,-0.000350952
0.581803,0.0603259,0.543478,0.0397184,0.0502957,0.0865975,0.029068,-0.000350952
0.594131,-0.0918736,0.53722,0.0493387,0.0407574,0.110343,0.029068,-0.000350952
0.527386,-0.317535,0.507549,0.0466336,0.0368939,0.112743,0.029068,-0.000350952
0.378281,-0.501327,0.445845,0.0259044,0.0326641,0.0779855,0.029068,-0.000350952
0.204455,-0.587585,0.340392,0.0103948,0.0292616,0.014046,0.029068,-0.000350952
0.0330623,-0.591551,0.204559,-0.00104076,0.0276008,-0.0697487,0.029068,-0.000350952
-0.0826322,-0.422962,0.0814495,0.0072232,0.0216075,-0.163879,0.029068,-0.000350952
-0.104103,-0.13845,-0.0219563,0.00495132,0.0368986,-0.223479,0.029068,-0.000350952
-0.0388735,0.143783,-0.0704202,0.0115126,0.0688397,-0.229829,0.029068,-0.000350952
0.0560347,0.349935,-0.0623496,0.0245002,0.0961299,-0.18121,0.029068,-0.000350952
0.138562,0.454201,-0.0403499,0.0230252,0.107225,-0.10599,0.029068,-0.000350952
0.179524,0.45937,-0.0139155,0.0119244,0.118541,-0.0226513,0.029068,-0.000350952
0.173593,0.390064,0.00986853,0.00112485,0.121065,0.0483168,0.029068,-0.000350952
0.129327,0.258219,0.0399431,-0.00533995,0.129207,0.099674,0.029068,-0.000350952
0.0465693,0.150407,0.0908325,-0.00856962,0.125557,0.121498,0.029068,-0.000350952
-0.0594069,0.104656,0.134592,-0.0223887,0.122911,0.123203,0.029068,-0.000350952
-0.177154,0.110648,0.153024,-0.0481672,0.123213,0.118264,0.029068,-0.000350952
-0.275852,0.116155,0.1849,-0.0559898,0.117142,0.114271,0.029068,-0.000350952
-0.332698,0.071379,0.235182,-0.0548916,0.121236,0.106909,0.029068,-0.000350952
-0.334392,0.0124678,0.320138,-0.0460394,0.116492,0.087981,0.029068,-0.000350952
-0.290825,-0.0334498,0.406621,-0.0506025,0.111603,0.0657588,0.029068,-0.000350952
-0.24228,-0.0580878,0.453391,-0.0653535,0.108936,0.045904,0.029068,-0.000350952
-0.2083,-0.121636,0.488468,-0.0558199,0.0975707,0.0262044,0.029068,-0.000350952
-0.206723,-0.198016,0.523168,-0.044751,0.0863754,0.00318354,0.029068,-0.000350952
-0.239779,-0.215277,0.554845,-0.0445784,0.0733794,-0.0229599,0.029068,-0.000350952
-0.28998,-0.192465,0.57266,-0.0338472,0.0592796,-0.0583455,0.029068,-0.000350952
-0.325381,-0.105181,0.57198,-0.0223645,0.0437109,-0.0869495,0.029068,-0.000350952
-0.339758,0.00905715,0.571808,-0.00251007,0.0374802,-0.105377,0.029068,-0.000350952
-0.310632,0.125473,0.604847,0.027225,0.0369666,-0.0986674,0.029068,-0.000350952
-0.260429,0.209294,0.66899,0.0589612,0.0425624,-0.0663562,0.029068,-0.000350952
-0.198361,0.214411,0.749851,0.0884639,0.0513053,-0.0232458,0.029068,-0.000350952
-0.198361,0.214411,0.749851,0.0884639,0.0513053,-0.0232458,0.0449219,-0.000534058
-0.163838,0.185975,0.841782,0.118491,0.0543863,0.00910592,0.0449219,-0.000534058
-0.169678,0.177067,0.941716,0.127239,0.0547459,0.0239358,0.0449219,-0.000534058
-0.194965,0.158362,1.05427,0.131904,0.0559366,0.0200495,0.0449219,-0.000534058
-0.21145,0.121885,1.17128,0.127941,0.0586858,0.00915658,0.0449219,-0.000534058
-0.198252,0.122923,1.26507,0.124592,0.0542447,-0.00906485,0.0449219,-0.000534058
-0.165515,0.125807,1.37762,0.118056,0.0563261,-0.0302468,0.0449219,-0.000534058
-0.121655,0.146318,1.51361,0.102179,0.0676838,-0.0475584,0.0449219,-0.000534058
-0.0666465,0.162332,1.62547,0.08897,0.0608975,-0.0669785,0.0449219,-0.000534058
-0.000237291,0.160088,1.68449,0.0615226,0.0527195,-0.0785996,0.0449219,-0.000534058
0.0657854,0.159976,1.70724,0.0402691,0.0487574,-0.0816565,0.0449219,-0.000534058
0.118034,0.156353,1.69977,0.0328019,0.0487764,-0.0855874,0.0449219,-0.000534058
0.162469,0.213325,1.6841,0.0231721,0.0516299,-0.091764,0.0449219,-0.000534058
0.191234,0.303031,1.66,0.0214548,0.0574822,-0.0963742,0.0449219,-0.000534058
0.2081,0.400482,1.63874,0.0206185,0.0688826,-0.090407,0.0449219,-0.000534058
0.243881,0.492147,1.61127,0.00985284,0.0772873,-0.067692,0.0449219,-0.000534058
0.279923,0.521089,1.58634,0.00820497,0.08801,-0.0321103,0.0449219,-0.000534058
0.293519,0.507579,1.5415,0.00673262,0.0974438,-0.000402689,0.0449219,-0.000534058
0.260828,0.435041,1.49515,0.0152369,0.112064,0.0125532,0.0449219,-0.000534058
0.189128,0.382423,1.47489,0.0264235,0.12521,0.0180464,0.0449219,-0.000534058
0.0898125,0.396728,1.46996,0.0369366,0.1338,0.00961846,0.0449219,-0.000534058
-0.0289533,0.452625,1.48889,0.048785,0.146396,0.0044986,0.0449219,-0.000534058
-0.132453,0.456285,1.54856,0.0631453,0.15596,-0.00208509,0.0449219,-0.000534058
-0.190843,0.497439,1.61408,0.0709187,0.165885,-0.015037,0.0449219,-0.000534058
-0.199,0.540874,1.6999,0.0732238,0.175983,-0.029856,0.0449219,-0.000534058
-0.162469,0.591871,1.81585,0.0736271,0.186352,-0.0374308,0.0449219,-0.000534058
-0.0753266,0.652643,1.9326,0.0615199,0.178818,-0.0552652,0.0449219,-0.000534058
-0.0171378,0.725384,2.02575,0.0331223,0.187829,-0.051509,0.0449219,-0.000534058
-0.0343717,0.786844,2.14104,0.00659068,0.195683,-0.037628,0.0449219,-0.000534058
-0.0417881,0.856153,2.23936,-0.0191096,0.165186,-0.0299724,0.0449219,-0.000534058
-0.0577099,0.797787,2.27157,-0.0615304,0.155488,-0.00902569,0.0449219,-0.000534058
-0.0935834,0.710488,2.27956,-0.0787667,0.139031,-0.00368798,0.0449219,-0.000534058
-0.129087,0.647707,2.28027,-0.0900839,0.119701,-0.0141652,0.0449219,-0.000534058
-0.156004,0.671175,2.23239,-0.104687,0.0967734,-0.0294911,0.0449219,-0.000534058
-0.167451,0.710659,2.13227,-0.122414,0.085401,-0.0386392,0.0449219,-0.000534058
-0.19128,0.692856,2.04276,-0.12867,0.0816583,-0.0345784,0.0449219,-0.000534058
-0.218734,0.678712,1.99416,-0.118826,0.0678432,-0.0305941,0.0449219,-0.000534058
-0.237332,0.630845,1.93946,-0.114775,0.0559352,-0.0316621,0.0449219,-0.000534058
-0.237449,0.618232,1.83899,-0.132602,0.0483757,-0.0418328,0.0449219,-0.000534058
-0.215987,0.668984,1.69921,-0.151485,0.0336579,-0.0694153,0.0449219,-0.000534058
-0.177704,0.774952,1.56765,-0.162171,0.0446056,-0.0731405,0.0449219,-0.000534058
-0.158429,0.824852,1.49987,-0.156635,0.0510873,-0.072907,0.0449219,-0.000534058
-0.143318,0.890775,1.42509,-0.177182,0.0589354,-0.0632974,0.0449219,-0.000534058
-0.115595,0.883099,1.30111,-0.211337,0.0744178,-0.0402258,0.0449219,-0.000534058
-0.0702048,0.800593,1.158,-0.227119,0.0504975,-0.046504,0.0449219,-0.000534058
-0.045624,0.66281,1.03379,-0.251943,0.0277115,-0.0636984,0.0449219,-0.000534058
-0.0149204,0.648876,0.876862,-0.274111,-0.00164957,-0.0900743,0.0449219,-0.000534058
0.0232645,0.746843,0.648569,-0.290793,-0.00991166,-0.106308,0.0449219,-0.000534058
0.0431817,0.87335,0.421505,-0.302389,0.0233168,-0.077607,0.0449219,-0.000534058
0.0319185,0.909856,0.296689,-0.306058,0.0111465,-0.031972,0.0449219,-0.000534058
0.0141082,0.936508,0.185012,-0.307704,-0.00803611,0.00783998,0.0449219,-0.000534058
0.0131577,0.828496,0.032454,-0.302211,0.00324929,0.0374497,0.0449219,-0.000534058
0.0131577,0.828496,0.032454,-0.302211,0.00324929,0.0374497,0.0449219,-0.000534058
0.0324365,0.57631,-0.101774,-0.272195,-0.00746362,0.0582488,0.0449219,-0.000534058
0.0638815,0.302079,-0.224416,-0.235762,-0.00530283,0.0691435,0.0449219,-0.000534058
0.102385,0.071706,-0.356656,-0.221406,-0.00126745,0.0649109,0.0449219,-0.000534058
0.136441,-0.0362736,-0.502166,-0.214212,0.00733861,0.044793,0.0449219,-0.000534058
0.165011,-0.0922346,-0.605298,-0.194665,0.0260845,0.031673,0.0449219,-0.000534058
0.172351,-0.152856,-0.625564,-0.16054,0.0454268,0.0312791,0.0449219,-0.000534058
0.144265,-0.244,-0.557335,-0.109367,0.0545008,0.0155692,0.0449219,-0.000534058
0.122891,-0.268119,-0.476064,-0.0769582,0.0541952,-0.0181291,0.0449219,-0.000534058
0.121897,-0.259021,-0.433464,-0.0619056,0.0566069,-0.0458905,0.0449219,-0.000534058
0.121437,-0.155063,-0.413611,-0.0530202,0.0485902,-0.0773556,0.0449219,-0.000534058
0.12075,-0.040763,-0.405823,-0.0469536,0.0473354,-0.0838429,0.0449219,-0.000534058
0.112973,0.0515681,-0.341388,-0.0392693,0.0554076,-0.0762154,0.0449219,-0.000534058
0.113886,0.0379751,-0.230986,-0.0242614,0.0440975,-0.0508361,0.0449219,-0.000534058
0.148118,-0.0743673,-0.135181,-0.0269244,0.031582,-0.0290157,0.0449219,-0.000534058
0.188497,-0.276448,-0.106117,-0.037463,0.0125722,-0.0245841,0.0449219,-0.000534058
0.217634,-0.37645,-0.197232,-0.0643544,0.00101915,-0.0558951,0.0449219,-0.000534058
0.227472,-0.334901,-0.322256,-0.101332,-0.00615992,-0.0722204,0.0449219,-0.000534058
0.233086,-0.0541699,-0.413404,-0.0982146,-0.0102026,-0.0643651,0.0449219,-0.000534058
0.236606,0.2786,-0.451821,-0.093367,0.0200337,0.00979358,0.0449219,-0.000534058
0.230115,0.526204,-0.448084,-0.0710317,0.0366429,0.0990247,0.0449219,-0.000534058
0.219292,0.570593,-0.435953,-0.0571368,0.0355769,0.181018,0.0449219,-0.000534058
0.67176,-0.246613,-0.973277,-0.0315129,0.0143943,0.235291,0.0449219,-0.000534058
1.94208,-1.48973,-4.31587,-0.606688,-0.714698,0.108843,0.0449219,-0.000534058
1.39599,-0.927993,-3.82036,-0.0678675,0.120084,0.199876,0.0449219,-0.000534058
1.01378,0.183322,-1.80163,0.0858233,0.481762,0.10809,0.0449219,-0.000534058
0.562288,0.525865,0.877605,0.574954,0.185513,0.00114733,0.0449219,-0.000534058
0.177373,0.358316,1.83722,0.522392,0.114445,0.0476085,0.0449219,-0.000534058
