attitude_roll,attitude_pitch,attitude_yaw,rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z
0.0525327,0.231782,-0.00611687,-0.397891,-0.0565573,-0.420523,-0.0406673,-0.0213097,0.0489269
0.0475879,0.223881,-0.0133301,-0.364949,-0.65431,-0.299504,0.0310556,0.00575307,0.0372327
0.0296768,0.217154,-0.0173357,-0.261284,-1.14644,-0.133244,0.0612954,-0.0310389,-0.0718433
0.00703193,0.214193,-0.019299,-0.0329651,-1.10032,-0.0832976,-0.0101976,-0.0530663,-0.202533
-0.0114652,0.215194,-0.0209911,0.119987,-0.770441,-0.0727357,-0.0404962,-0.0493105,-0.231686
-0.0217082,0.218884,-0.0216736,0.241933,-0.264565,0.0118553,-0.0148527,-0.0582658,-0.214657
-0.0239904,0.22431,-0.0200311,0.288305,0.0160613,0.142682,0.0231278,-0.0555506,-0.136402
-0.0249252,0.229738,-0.0156855,0.258712,-0.0575709,0.25637,0.0357119,-0.0514676,-0.0635484
-0.029045,0.234375,-0.0102365,0.218294,-0.231199,0.242129,0.00450423,-0.056461,-0.0500742
-0.0365309,0.237806,-0.00590541,0.123048,-0.407947,0.163526,-0.0272797,-0.0653626,-0.0493144
-0.0465766,0.238528,-0.00343209,-0.0515771,-0.552565,0.0808168,-0.0466469,-0.0743659,-0.0593352
-0.0596657,0.235784,-0.00249387,-0.209406,-0.727614,0.0233944,-0.0577423,-0.0777501,-0.0932263
-0.074967,0.230641,-0.00338225,-0.308398,-0.8099,-0.0830991,-0.0859915,-0.0804953,-0.135217
-0.0898543,0.224114,-0.00715521,-0.377427,-0.747513,-0.235931,-0.117818,-0.0730611,-0.164791
-0.101412,0.217099,-0.0144147,-0.387899,-0.555487,-0.397814,-0.134583,-0.0451616,-0.177096
-0.107414,0.210935,-0.0245917,-0.344228,-0.257266,-0.520043,-0.114056,-0.0118016,-0.165755
-0.106873,0.205765,-0.0362972,-0.305789,0.0622431,-0.548024,-0.0781973,0.0327307,-0.104408
-0.10078,0.201275,-0.0473053,-0.249251,0.309301,-0.47161,-0.0448235,0.064146,-0.0313847
-0.0910446,0.198381,-0.056027,-0.110536,0.470403,-0.353314,-0.0362763,0.0833591,0.0284656
-0.080356,0.198498,-0.0620882,0.0707915,0.443597,-0.248163,-0.047863,0.0893781,0.0854616
-0.0726822,0.202017,-0.0663404,0.247559,0.200915,-0.195204,-0.0854289,0.0926894,0.136288
-0.0713669,0.208973,-0.0696247,0.41119,-0.134032,-0.187331,-0.126885,0.102185,0.154908
-0.0755786,0.218344,-0.0736812,0.465846,-0.371197,-0.28912,-0.173417,0.113067,0.169394
-0.0831288,0.227319,-0.0806944,0.349876,-0.516802,-0.476177,-0.192342,0.113351,0.17553
-0.090717,0.233148,-0.0922017,0.122662,-0.49261,-0.70147,-0.208215,0.111001,0.164347
-0.0955322,0.234486,-0.10902,-0.146967,-0.373108,-0.941301,-0.209378,0.128247,0.150358
-0.0963566,0.230875,-0.13063,-0.415654,-0.211847,-1.10741,-0.168705,0.148827,0.148135
-0.0934729,0.222688,-0.154764,-0.60535,-0.056058,-1.1403,-0.112993,0.161037,0.137844
-0.0880371,0.211944,-0.178053,-0.662989,0.0922556,-1.00632,-0.0384031,0.155688,0.136649
-0.0815989,0.200763,-0.198071,-0.60173,0.163995,-0.875769,-0.0499047,0.155334,0.140213
-0.0741968,0.19042,-0.215266,-0.600541,0.186279,-0.698376,-0.0479845,0.120866,0.191793
-0.0684114,0.179082,-0.229658,-0.620228,0.120239,-0.699624,-0.093929,0.139812,0.237657
-0.0628865,0.168652,-0.246739,-0.512792,0.247461,-0.874928,-0.077756,0.118522,0.221321
-0.0524046,0.160309,-0.263976,-0.452241,0.46135,-0.756456,0.0136536,0.018785,0.210478
-0.0414283,0.150669,-0.278363,-0.60532,0.423622,-0.626122,0.0405963,0.00739911,0.207885
-0.0306556,0.13703,-0.289872,-0.793612,0.457966,-0.473548,0.0510087,-0.0192827,0.158816
-0.0209495,0.121067,-0.299074,-0.783422,0.422377,-0.420089,0.0302704,-0.0810417,0.0390477
-0.0111806,0.10798,-0.308437,-0.51303,0.446379,-0.507003,0.0142281,-0.14078,-0.061352
-0.00133282,0.101181,-0.320141,-0.189942,0.40102,-0.65366,0.021193,-0.175343,-0.0829657
0.00710103,0.0993471,-0.334181,-0.0216951,0.303414,-0.731123,0.0511158,-0.198073,-0.0420195
0.0136287,0.0987722,-0.348719,-0.0416552,0.195666,-0.708903,0.0868257,-0.21044,-0.00696534
0.0175053,0.0968039,-0.362072,-0.134769,0.0460972,-0.618613,0.109653,-0.225247,-0.0185367
0.0177954,0.093372,-0.373154,-0.176087,-0.108498,-0.491061,0.104979,-0.230403,-0.098935
0.0152112,0.0900927,-0.381635,-0.122261,-0.225433,-0.374294,0.0751526,-0.231028,-0.209417
0.0108875,0.0886903,-0.388795,-0.0171633,-0.271945,-0.355801,0.0130508,-0.235797,-0.319846
0.00580413,0.0885548,-0.396322,-0.0167678,-0.289206,-0.401884,-0.0250227,-0.229768,-0.376097
0.00115966,0.0864582,-0.40514,-0.21988,-0.265746,-0.480715,-0.024135,-0.225432,-0.401243
-0.0035991,0.0796162,-0.415078,-0.452835,-0.285048,-0.50204,0.0185566,-0.223294,-0.455231
-0.00803334,0.0700781,-0.425183,-0.473494,-0.207057,-0.505854,0.0249203,-0.199175,-0.54779
-0.00952271,0.0627074,-0.435003,-0.253582,0.0101152,-0.451337,0.0117622,-0.136003,-0.586361
-0.00569349,0.0614561,-0.442362,0.145581,0.347497,-0.26481,0.0316532,-0.0747215,-0.540509
0.00524455,0.0691946,-0.445159,0.632034,0.73279,-0.00875903,0.0530719,-0.0320722,-0.411266
0.00524455,0.0691946,-0.445159,0.632034,0.73279,-0.00875903,0.0530719,-0.0320722,-0.411266
0.023354,0.0866429,-0.442831,1.0955,1.09388,0.271546,0.0642144,0.00840956,-0.213511
0.0470538,0.111891,-0.435524,1.36962,1.32419,0.546194,0.0332138,0.0619905,0.021547
0.0725284,0.140706,-0.423424,1.40545,1.34794,0.816995,0.00146306,0.089736,0.225902
0.0950632,0.168863,-0.407525,1.24969,1.12499,0.974996,-0.0424225,0.0793017,0.371264
0.109294,0.193338,-0.389496,1.01475,0.59009,1.02944,-0.0676768,0.0592164,0.435398
0.111011,0.213828,-0.371043,0.820446,-0.0710473,0.980413,-0.103744,0.0459117,0.412495
0.0975205,0.229557,-0.354272,0.553257,-0.928752,0.79728,-0.154565,0.052772,0.38598
0.0680521,0.237847,-0.341578,0.15285,-1.67152,0.489371,-0.205779,0.0619504,0.292566
0.0304233,0.237669,-0.335634,-0.186852,-1.90804,0.0810647,-0.219276,0.0599309,0.0977673
-0.00652836,0.231791,-0.338113,-0.379096,-1.78224,-0.312815,-0.173303,0.0912632,-0.0692447
-0.0354902,0.223625,-0.347134,-0.42707,-1.31513,-0.509301,-0.0700455,0.144907,-0.169328
-0.0524078,0.217951,-0.357245,-0.152501,-0.554979,-0.397247,0.0434084,0.220762,-0.276371
-0.0556177,0.218642,-0.361509,0.170116,0.0856299,0.0109211,0.142431,0.285447,-0.208727
-0.051856,0.223975,-0.356174,0.367238,0.351332,0.46249,0.180741,0.284058,-0.0642371
-0.0472886,0.231806,-0.343156,0.462327,0.370345,0.733922,0.157564,0.228591,0.0598268
-0.0445556,0.240519,-0.326716,0.463337,0.282604,0.803577,0.100937,0.181688,0.15154
-0.0434737,0.248475,-0.310186,0.388199,0.240071,0.757303,0.061565,0.142914,0.215092
-0.0422434,0.254637,-0.295505,0.298208,0.25785,0.632615,0.0420898,0.107088,0.231479
-0.0393154,0.259613,-0.283922,0.249559,0.330701,0.474616,0.0484862,0.085411,0.229888
-0.0346441,0.263521,-0.275342,0.161113,0.356826,0.350712,0.0661869,0.0835409,0.260035
-0.0291938,0.265029,-0.269005,0.00548491,0.350171,0.2569,0.0890531,0.0718586,0.281141
-0.0234828,0.263531,-0.264442,-0.134706,0.354682,0.199355,0.102657,0.0581289,0.245407
-0.0172969,0.259536,-0.260111,-0.257383,0.361555,0.235016,0.100961,0.0534006,0.201167
-0.0120097,0.253141,-0.254859,-0.375067,0.294823,0.284835,0.0653834,0.0256536,0.138776
-0.009014,0.244992,-0.248611,-0.41005,0.148295,0.321563,0.013185,-0.00502503,0.00987947
-0.00934983,0.237204,-0.242861,-0.369681,-0.0473044,0.211176,-0.0869204,-0.0606994,-0.12837
-0.0124455,0.229316,-0.24155,-0.433637,-0.218891,-0.0857499,-0.134075,-0.140151,-0.206475
-0.0159453,0.219948,-0.246847,-0.502093,-0.200769,-0.424222,-0.124118,-0.219306,-0.313354
-0.0146197,0.210052,-0.258972,-0.505532,0.105889,-0.733851,-0.138168,-0.217118,-0.397664
-0.00460946,0.200098,-0.275903,-0.508254,0.56872,-0.888901,-0.14566,-0.165095,-0.426045
0.0139464,0.189854,-0.294318,-0.508938,0.893048,-0.912315,-0.135872,-0.151372,-0.40756
0.0362447,0.179622,-0.312644,-0.467628,0.96067,-0.929574,-0.113184,-0.165367,-0.3699
0.0571375,0.170445,-0.331672,-0.361294,0.767937,-0.992552,-0.0914199,-0.172253,-0.339433
0.0727595,0.162935,-0.351558,-0.261354,0.489258,-1.00396,-0.0527658,-0.15004,-0.296403
0.0844932,0.157759,-0.370541,-0.0859186,0.433256,-0.887332,-0.0129101,-0.0970301,-0.289669
0.0972473,0.157696,-0.385838,0.235098,0.615147,-0.595006,0.0182159,-0.016236,-0.258407
0.112441,0.1652,-0.394517,0.600891,0.755735,-0.158956,0.027476,0.0654963,-0.142051
0.127592,0.180434,-0.394697,0.90323,0.725858,0.318651,-0.000302866,0.11125,0.00910944
0.138515,0.201893,-0.387119,1.11272,0.484476,0.685158,-0.074935,0.124978,0.142852
0.141719,0.227051,-0.374167,1.1819,0.0950535,0.904254,-0.154801,0.143425,0.250165
0.135316,0.252193,-0.358391,1.08504,-0.365112,0.931432,-0.240362,0.141237,0.308469
0.119979,0.274098,-0.343837,0.895721,-0.783524,0.706725,-0.331943,0.10744,0.315155
0.0980911,0.290206,-0.335535,0.61693,-1.17259,0.237618,-0.404431,0.0791187,0.289028
0.0726216,0.299888,-0.337611,0.363359,-1.409,-0.355613,-0.41487,0.0669436,0.21132
0.0479312,0.303682,-0.351191,0.0832617,-1.44295,-0.897499,-0.32781,0.0790044,0.14028
0.027554,0.302063,-0.374113,-0.155905,-1.24555,-1.27407,-0.206357,0.119619,0.0541395
0.0152147,0.296429,-0.403103,-0.350448,-0.814293,-1.48866,-0.120019,0.182258,-0.00202256
0.0135782,0.288027,-0.434295,-0.41266,-0.252648,-1.4891,-0.0333279,0.224476,-0.0537181
0.0216947,0.280791,-0.463692,-0.23743,0.192886,-1.34673,0.0485383,0.228288,-0.0581884
0.0346552,0.277665,-0.489904,-0.0203344,0.353863,-1.19408,0.0847209,0.213258,0.033951
0.0346552,0.277665,-0.489904,-0.0203344,0.353863,-1.19408,0.0847209,0.213258,0.033951
0.0487135,0.277369,-0.513203,0.0610441,0.413654,-1.0548,0.100765,0.17501,0.155005
0.0631054,0.277208,-0.534016,0.018739,0.45671,-0.962518,0.0827615,0.136098,0.246652
0.0778448,0.27514,-0.553509,-0.103593,0.480891,-0.932453,0.052585,0.0894,0.303726
0.0919904,0.269856,-0.572396,-0.266263,0.410644,-0.931985,0.0396071,0.0345064,0.326556
0.103512,0.261651,-0.590995,-0.366432,0.244734,-0.946187,0.041303,-0.0183174,0.306146
0.111231,0.251686,-0.609635,-0.433843,0.0614159,-0.950759,0.0424135,-0.0422377,0.265503
0.115245,0.240948,-0.627384,-0.422912,-0.0741893,-0.874695,0.0646621,-0.0648741,0.173334
0.11737,0.231964,-0.643036,-0.289048,-0.0585744,-0.736665,0.0846745,-0.0804589,0.0537555
0.119771,0.225696,-0.655561,-0.211667,0.00724246,-0.553303,0.10112,-0.097382,0.00563532
