attitude_roll,attitude_pitch,attitude_yaw,rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z
-0.0715165,0.305814,0.240416,0.102455,0.10221,-0.638771,-0.193441,0.298231,0.115838
-0.0632962,0.306966,0.227223,-0.0476971,0.287877,-0.60452,-0.122778,0.300169,0.141531
-0.0540482,0.306642,0.215431,-0.0229894,0.262778,-0.520157,-0.0902675,0.273523,0.159709
-0.0465376,0.308141,0.205399,0.134639,0.187906,-0.445314,-0.0635347,0.232075,0.186883
-0.040523,0.31258,0.19672,0.253836,0.14997,-0.414462,-0.0638987,0.210728,0.247317
-0.0350917,0.31777,0.188028,0.210427,0.129699,-0.44303,-0.0708438,0.188486,0.316934
-0.0293191,0.32073,0.178307,0.0472689,0.146567,-0.490042,-0.051953,0.15756,0.377049
-0.0230578,0.320043,0.167722,-0.13525,0.140604,-0.513676,-0.0349235,0.132768,0.406382
-0.0173644,0.31624,0.156805,-0.256037,0.0786171,-0.513285,-0.0116652,0.116248,0.407025
-0.0134593,0.310837,0.146379,-0.283722,-0.00539643,-0.468597,0.00700033,0.0915915,0.377071
-0.0112003,0.30553,0.13696,-0.257522,-0.0545911,-0.426768,0.00860612,0.0550104,0.334716
-0.00997202,0.300508,0.128142,-0.265933,-0.0682261,-0.416299,0.0174748,0.00573725,0.285659
-0.0078198,0.294306,0.119229,-0.38908,0.0459381,-0.440251,0.05268,-0.0561005,0.235569
-0.00175462,0.284849,0.109574,-0.559078,0.285411,-0.477468,0.0788324,-0.122079,0.176408
0.00794103,0.273027,0.0996376,-0.594926,0.389485,-0.47376,0.112043,-0.162436,0.0886307
0.0178986,0.262276,0.0906598,-0.447853,0.347002,-0.391163,0.154437,-0.181394,0.00207037
0.0257658,0.255752,0.0841018,-0.184648,0.292381,-0.27023,0.194512,-0.214068,-0.0770982
0.0327808,0.253755,0.0787533,-0.0400088,0.257721,-0.271632,0.22064,-0.251126,-0.0994837
0.0387302,0.252019,0.0725469,-0.145251,0.206714,-0.344467,0.233895,-0.272094,-0.138654
0.0458459,0.2468,0.0647196,-0.326965,0.335306,-0.42449,0.255531,-0.285071,-0.240609
0.0565974,0.239934,0.056398,-0.270515,0.532175,-0.395219,0.302796,-0.262301,-0.377461
0.0705859,0.236967,0.0501049,0.0271791,0.723108,-0.212465,0.342363,-0.21393,-0.458146
