attitude_roll,attitude_pitch,attitude_yaw,rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z
0.0647093,0.219204,-0.00712325,-0.0346593,0.468917,0.180826,-0.0253513,-0.13765,0.03369
0.0698139,0.222714,-0.000340695,0.221124,0.0346718,0.226136,-0.0324356,-0.142007,0.086741
0.069263,0.228105,0.00330358,0.263187,0.00750689,0.175582,-0.0379349,-0.141498,0.0756275
0.0687265,0.232515,0.00654863,0.146453,0.0139027,0.186681,-0.0261445,-0.111661,0.0847758
0.0689724,0.235031,0.0105341,0.0987303,0.11016,0.217211,-0.0129153,-0.0951903,0.0169781
0.0697864,0.237411,0.0151479,0.103774,0.0278747,0.242391,-0.016718,-0.078152,-0.0446827
0.0663797,0.239795,0.0201332,0.0977314,-0.224751,0.258189,0.00676443,-0.0672299,-0.0922455
0.0592307,0.24173,0.02553,0.0369616,-0.371071,0.274221,-0.00544249,-0.0412872,-0.179367
0.0471296,0.240685,0.0308097,-0.203113,-0.781374,0.227029,-0.0621574,0.00248247,-0.224789
0.0274564,0.233457,0.0340531,-0.558152,-1.06575,0.0312945,-0.101003,-0.0280724,-0.307401
0.00618138,0.218238,0.0318361,-0.968403,-1.06782,-0.271697,-0.138847,-0.0523038,-0.417247
-0.0106942,0.195628,0.0239589,-1.28147,-0.750928,-0.464327,-0.146096,-0.0151052,-0.524822
-0.0200968,0.16928,0.0139588,-1.31887,-0.394101,-0.452919,-0.10919,0.0584415,-0.598981
-0.0241496,0.145871,0.0049235,-1.00126,-0.173767,-0.400594,-0.0981796,0.0980522,-0.614913
-0.0248718,0.130699,-0.00340117,-0.537891,-0.00253747,-0.399717,-0.103593,0.0932482,-0.522813
-0.0220094,0.124203,-0.0117752,-0.147348,0.164309,-0.419545,-0.123471,0.102354,-0.346506
-0.0159073,0.124564,-0.0203828,0.149204,0.317312,-0.442088,-0.148539,0.12444,-0.153397
-0.00813146,0.129628,-0.0299357,0.333241,0.313781,-0.528399,-0.195535,0.130959,0.0192262
-0.00175366,0.137149,-0.0422452,0.391983,0.144514,-0.712047,-0.24399,0.13649,0.139961
0.0005709,0.144133,-0.0594859,0.285363,-0.161743,-1.01519,-0.280304,0.121891,0.219642
-0.0016057,0.147773,-0.0834399,0.0698664,-0.37858,-1.35526,-0.301055,0.138919,0.24589
-0.00508686,0.14704,-0.113505,-0.141626,-0.377463,-1.60876,-0.28751,0.198544,0.214904
-0.00563922,0.142837,-0.147575,-0.293999,-0.160286,-1.75455,-0.261798,0.26369,0.176675
-0.00232464,0.136019,-0.183188,-0.3899,-0.024671,-1.76837,-0.192002,0.281611,0.191384
0.00258149,0.128286,-0.218167,-0.365373,0.0430796,-1.70728,-0.153577,0.279546,0.206837
0.00713069,0.122041,-0.251845,-0.234775,-0.0305759,-1.66026,-0.135694,0.248249,0.24655
0.00971218,0.118509,-0.285063,-0.0983966,-0.0945985,-1.64755,-0.130631,0.197867,0.295491
0.0114144,0.116604,-0.317792,-0.0780305,-0.113543,-1.61741,-0.116866,0.166633,0.361736
0.0130331,0.114206,-0.349791,-0.125289,-0.0939535,-1.56989,-0.0913323,0.131231,0.407998
0.01498,0.111092,-0.380618,-0.130079,-0.0510134,-1.50593,-0.064936,0.0994352,0.411922
0.0171764,0.10829,-0.410484,-0.106325,-0.0751611,-1.48537,-0.0681004,0.0696262,0.420219
0.0173338,0.105542,-0.44043,-0.117048,-0.256189,-1.51045,-0.0458468,0.0180815,0.439477
0.0137385,0.102514,-0.471107,-0.149584,-0.428791,-1.5614,-0.0144594,-0.0307219,0.417477
