attitude_roll,attitude_pitch,attitude_yaw,rotationRate_x,rotationRate_y,rotationRate_z,acceleration_x,acceleration_y,acceleration_z
-0.0103219,0.231334,0.00119926,-0.10453,0.167974,-0.134154,0.103949,-0.0150928,0.224103
-0.00776583,0.230264,0.000238697,0.017174,0.067945,0.0394061,0.110359,-0.0343845,0.180364
-0.00803677,0.232785,0.00217807,0.242619,-0.031205,0.124175,0.0781477,-0.0713744,0.125599
-0.00960528,0.23897,0.0048748,0.342046,-0.0592029,0.131732,0.0649199,-0.100365,0.115932
-0.0115459,0.244586,0.00774728,0.189359,-0.0713544,0.132137,0.0424215,-0.116976,0.137486
-0.0140529,0.24588,0.0101258,-0.0493251,-0.10331,0.101555,0.047718,-0.133619,0.103891
-0.0163556,0.243386,0.012656,-0.168207,-0.0647056,0.168128,0.0900001,-0.114295,0.0211027
-0.0189675,0.240186,0.0174554,-0.120074,-0.100245,0.316368,0.128529,-0.0826123,-0.0637473
-0.0231105,0.238926,0.0256311,0.00607606,-0.113003,0.480533,0.137869,-0.0676777,-0.13885
-0.0267162,0.240008,0.0370102,0.118888,0.0440089,0.611232,0.116585,-0.0560514,-0.197101
-0.0266354,0.242183,0.0502129,0.109536,0.285598,0.652345,0.0979528,-0.0745237,-0.206438
-0.0225837,0.242508,0.0635404,-0.0651941,0.390082,0.64368,0.120233,-0.106267,-0.165556
-0.01996,0.238358,0.0764281,-0.328589,0.118527,0.615615,0.122345,-0.107154,-0.144235
-0.024724,0.229956,0.0884689,-0.437743,-0.263338,0.583524,0.104149,-0.0834663,-0.255686
-0.0326639,0.222255,0.100165,-0.279701,-0.205018,0.589989,0.116388,-0.0428611,-0.424486
-0.0353576,0.21871,0.112903,-0.0385729,0.243742,0.695252,0.142952,0.0248472,-0.462786
-0.0302428,0.219338,0.129086,0.126507,0.580475,0.89215,0.18584,0.0776449,-0.332495
-0.0224256,0.222075,0.149378,0.186403,0.607261,1.07009,0.201484,0.0842065,-0.128105
-0.0166089,0.225546,0.172487,0.196156,0.487936,1.17392,0.197889,0.0714474,0.0215806
-0.0139171,0.228789,0.197477,0.158772,0.34955,1.25549,0.203083,0.0808019,0.124482
-0.013708,0.231048,0.223854,0.102093,0.289827,1.31102,0.207817,0.0867704,0.165596
-0.014372,0.231686,0.251124,-0.0274869,0.252844,1.35642,0.224513,0.0927168,0.194707
-0.0172972,0.228852,0.279733,-0.217306,0.116831,1.45412,0.25148,0.108864,0.200085
-0.023235,0.222687,0.310673,-0.327422,-0.0237589,1.57921,0.254364,0.136623,0.144386
-0.031828,0.215711,0.343454,-0.254978,-0.0835597,1.63955,0.217807,0.148063,0.0247153
-0.0396969,0.211279,0.377282,-0.0684116,0.00628899,1.69161,0.203797,0.158792,-0.0633205
-0.0463959,0.209995,0.412432,0.0867559,0.06398,1.76401,0.210232,0.182103,-0.0637158
-0.0522607,0.211344,0.449699,0.22803,0.115637,1.88113,0.222492,0.191403,-0.0356089
-0.0589584,0.214896,0.48934,0.33766,0.0424063,1.97039,0.214887,0.191502,0.0223133
-0.0674881,0.219919,0.530162,0.405982,-0.00588523,1.97046,0.184084,0.156719,0.0578151
-0.0772314,0.224979,0.56992,0.366462,-0.0962977,1.8622,0.147079,0.114367,0.100128
-0.0876598,0.228287,0.606709,0.250348,-0.125215,1.69618,0.133189,0.0653446,0.102426
-0.0979981,0.229173,0.639875,0.149335,-0.143,1.51905,0.122017,0.0464776,0.066762
-0.107316,0.229225,0.668997,0.166858,-0.118627,1.30638,0.096343,0.0293471,-0.0106567
-0.114548,0.230603,0.694116,0.240609,-0.0226706,1.13258,0.109914,0.0164823,-0.0678242
-0.119273,0.233358,0.716991,0.293276,0.0802981,1.06939,0.143109,0.0332632,-0.0790912
-0.121501,0.237335,0.739318,0.369867,0.214977,1.04372,0.152564,0.0297452,-0.0865128
-0.122015,0.24311,0.760904,0.457682,0.233892,0.966956,0.13205,0.0100398,-0.0720681
-0.122067,0.25045,0.780709,0.488502,0.253349,0.857678,0.129851,-0.0236751,-0.0438856
-0.121193,0.257457,0.798267,0.398335,0.26989,0.750959,0.142303,-0.0368051,-0.011122
-0.119578,0.262317,0.813581,0.26794,0.268582,0.668205,0.149117,-0.0490303,-0.0130746
-0.118408,0.265266,0.827149,0.192827,0.212784,0.606252,0.155625,-0.0483958,-0.0552232
-0.116539,0.267491,0.839678,0.164067,0.344542,0.584704,0.16199,-0.0393378,-0.120184
-0.111443,0.268042,0.852097,0.00198533,0.483,0.606687,0.18056,-0.0425899,-0.113758
-0.105891,0.264032,0.864221,-0.291141,0.302882,0.574812,0.139323,-0.0348623,-0.101219
-0.106096,0.25425,0.873041,-0.571879,-0.0425337,0.380377,0.104553,-0.0708221,-0.191444
-0.107894,0.241811,0.87847,-0.55453,0.0386616,0.314279,0.0719587,-0.0374098,-0.382976
-0.105427,0.23357,0.884976,-0.154107,0.400636,0.436306,0.0682249,0.0615914,-0.49685
-0.0955207,0.234947,0.896829,0.394176,0.868422,0.708486,0.088788,0.138325,-0.451157
-0.0787069,0.244702,0.914715,0.669176,1.20261,0.927444,0.0432786,0.185276,-0.234912
-0.0599153,0.256497,0.936316,0.630733,1.16635,1.07314,0.00881771,0.177323,0.00343651
-0.0599153,0.256497,0.936316,0.630733,1.16635,1.07314,0.00881771,0.177323,0.00343651
-0.0457428,0.266417,0.95962,0.47162,0.808938,1.11415,-0.0233913,0.166872,0.152127
-0.0411799,0.272966,0.983146,0.292011,0.284014,1.14746,-0.0215437,0.180752,0.214265
-0.0461076,0.27682,1.00859,0.22366,-0.0427462,1.30281,-0.00774165,0.222776,0.159317
-0.0556807,0.280428,1.03731,0.294683,-0.0794791,1.42877,-0.029133,0.242328,0.0732021
-0.0644401,0.285793,1.06749,0.414717,0.0583425,1.41809,-0.0681755,0.203244,0.035221
-0.0700043,0.292682,1.09639,0.43525,0.182389,1.3015,-0.0747816,0.154564,0.0862471
-0.0742489,0.298599,1.1227,0.318458,0.138427,1.18425,-0.0387362,0.128822,0.184378
-0.0795707,0.301646,1.14694,0.165138,0.0428666,1.1201,0.014939,0.120197,0.234878
-0.0860882,0.302176,1.17015,0.0912329,0.0213058,1.09603,0.0550171,0.1211,0.214034
-0.0914188,0.30209,1.19277,0.0979552,0.134855,1.05456,0.0550225,0.120072,0.164902
-0.0934391,0.302241,1.21427,0.0992198,0.295461,0.997795,0.0693596,0.10073,0.159904
-0.0930842,0.301574,1.2348,0.00472213,0.321162,0.971431,0.0968575,0.0824695,0.196449
-0.0931951,0.298707,1.25491,-0.106781,0.285912,0.977482,0.111843,0.0582003,0.197771
-0.0932212,0.293737,1.27486,-0.220394,0.290412,0.970441,0.108524,0.0368306,0.176401
-0.0929212,0.286479,1.29437,-0.319099,0.309546,0.960854,0.0866103,0.0131674,0.130964
-0.0922469,0.277696,1.31335,-0.384108,0.275304,0.933225,0.0548499,-0.0186751,0.0759936
-0.0924051,0.267922,1.3311,-0.427086,0.190377,0.864192,0.0263291,-0.0539818,0.00946426
-0.0931018,0.258103,1.34733,-0.403183,0.164726,0.787547,-0.0058305,-0.0828875,-0.0712624
-0.0932576,0.249292,1.36186,-0.336624,0.20267,0.70836,-0.0335507,-0.0949874,-0.138044
-0.0913727,0.242425,1.37551,-0.215482,0.334067,0.679229,-0.0566861,-0.0941706,-0.191097
-0.0858469,0.238915,1.38892,-0.010607,0.545816,0.654838,-0.0819618,-0.088623,-0.208985
-0.0764235,0.239753,1.40246,0.191308,0.687124,0.657216,-0.0956497,-0.0714512,-0.155661
-0.0665338,0.243714,1.41651,0.291475,0.63345,0.683471,-0.0961245,-0.0731444,-0.0610719
-0.0583988,0.248989,1.43118,0.318624,0.519882,0.704099,-0.110487,-0.0887963,-0.00999862
-0.0538704,0.25469,1.44589,0.328365,0.292123,0.683205,-0.124345,-0.108024,-0.0187394
-0.0543209,0.259685,1.45919,0.212672,-0.00292189,0.567772,-0.151475,-0.124755,-0.0746121
-0.0595062,0.261633,1.47,0.0550156,-0.189739,0.473291,-0.11075,-0.14869,-0.206563
-0.0648619,0.261654,1.47872,0.0120023,-0.0700109,0.368897,-0.0929225,-0.152973,-0.376369
-0.0648641,0.261053,1.48527,-0.0608582,0.23022,0.277558,-0.0886378,-0.12914,-0.445718
-0.0598668,0.257185,1.48993,-0.315366,0.358213,0.188014,-0.0788555,-0.120321,-0.40062
-0.0543849,0.247656,1.49155,-0.634876,0.175218,0.0112011,-0.0899701,-0.123016,-0.362632
-0.0534219,0.232799,1.48933,-0.823407,-0.0950152,-0.120008,-0.0550843,-0.0934257,-0.424466
-0.0548406,0.217424,1.48602,-0.676854,-0.0692411,-0.0997121,0.000361018,-0.013121,-0.531909
-0.0532795,0.208698,1.48566,-0.152535,0.271589,0.148533,0.0642905,0.0811491,-0.554688
-0.0440599,0.211553,1.49223,0.435307,0.760623,0.47462,0.10979,0.155214,-0.381275
-0.0292496,0.222601,1.50486,0.657978,0.952762,0.710715,0.118352,0.153598,-0.0618491
-0.0148908,0.235099,1.52138,0.595824,0.794643,0.85857,0.107636,0.110625,0.206575
-0.00890021,0.244853,1.53961,0.395498,0.196261,0.889094,0.107405,0.0748721,0.364696
-0.0163065,0.250372,1.55737,0.179135,-0.483365,0.822477,0.101735,0.0336983,0.379046
-0.0344103,0.251296,1.57323,-0.0370602,-0.876618,0.71909,0.0778481,0.0464657,0.263
-0.0555713,0.248746,1.58654,-0.146995,-0.859613,0.575558,0.0414889,0.07764,0.0891857
-0.0732259,0.244772,1.59632,-0.172922,-0.629192,0.400175,0.0318104,0.0916853,-0.0432563
-0.0831371,0.241447,1.60303,-0.0972377,-0.199104,0.303113,0.0686698,0.120791,-0.116192
-0.0847605,0.240263,1.60957,0.0464035,0.17654,0.360738,0.121992,0.166806,-0.0901644
-0.0806941,0.242184,1.61846,0.211205,0.40428,0.484504,0.148124,0.190705,0.0192475
-0.0747952,0.246694,1.62969,0.315545,0.448014,0.553892,0.138412,0.169966,0.167163
-0.0690261,0.252597,1.64142,0.341456,0.4023,0.529521,0.105204,0.143962,0.298328
-0.064736,0.258185,1.65206,0.278954,0.28865,0.464093,0.0915078,0.132477,0.392183
-0.0625779,0.262124,1.6613,0.170351,0.165786,0.407505,0.0934515,0.132515,0.430718
-0.0623943,0.263695,1.6695,0.0419774,0.0633766,0.38399,0.112643,0.14691,0.429223
-0.0638045,0.263023,1.67747,-0.0633161,0.00566842,0.387828,0.125579,0.155722,0.39681
-0.0638045,0.263023,1.67747,-0.0633161,0.00566842,0.387828,0.125579,0.155722,0.39681
-0.0661815,0.260671,1.68534,-0.117242,-0.0395359,0.38836,0.114711,0.155251,0.333578
-0.0687587,0.257535,1.69306,-0.14958,-0.0271648,0.379689,0.109194,0.146986,0.262664
-0.0716768,0.253098,1.70012,-0.261107,-0.0973126,0.330145,0.0932444,0.131065,0.20412
-0.0756329,0.245771,1.70596,-0.432886,-0.129914,0.291966,0.0950798,0.108691,0.11357
-0.0779938,0.234962,1.71089,-0.60671,0.015124,0.270281,0.0798633,0.109073,-0.0113904
-0.0775479,0.221348,1.7152,-0.707832,0.118678,0.25482,0.0489688,0.107622,-0.132066
-0.0759131,0.206347,1.7193,-0.76306,0.102861,0.267243,0.052274,0.0777347,-0.229996
-0.0761686,0.190049,1.7237,-0.836698,-0.0513012,0.27723,0.0103481,0.0556219,-0.316644
-0.0796872,0.172659,1.7272,-0.857922,-0.236953,0.190908,-0.0437883,0.0030254,-0.431065
-0.0858379,0.156331,1.72855,-0.743603,-0.330274,0.0808005,-0.0581658,-0.0264952,-0.546441
-0.091189,0.143587,1.72853,-0.52015,-0.175146,0.056001,-0.0534443,-0.0145899,-0.626692
-0.0925018,0.135361,1.72976,-0.299627,0.0533346,0.14588,-0.0553408,0.00825471,-0.59926
-0.0906181,0.130346,1.73246,-0.209438,0.127326,0.14245,-0.0932722,-0.0139434,-0.449304
-0.0889482,0.125826,1.73346,-0.251042,0.0443508,-0.0214546,-0.128699,-0.0767911,-0.303484
-0.0893195,0.12009,1.73,-0.361182,-0.127232,-0.273659,-0.155216,-0.0969798,-0.218695
-0.0919471,0.113161,1.72172,-0.376162,-0.191058,-0.466206,-0.137484,-0.0778916,-0.214695
-0.0928563,0.108242,1.7107,-0.193038,0.013087,-0.569589,-0.12985,-0.00975169,-0.251667
-0.0885003,0.108125,1.69897,0.0749203,0.292828,-0.576878,-0.11518,0.0691111,-0.198253
-0.0801782,0.112872,1.68837,0.292217,0.368766,-0.519404,-0.10633,0.121604,-0.0578341
-0.0736854,0.120543,1.67862,0.379494,0.132946,-0.523096,-0.133931,0.132947,0.08972
-0.0728867,0.128884,1.66808,0.364831,-0.171156,-0.597463,-0.180116,0.124759,0.171919
-0.0763587,0.136627,1.65544,0.321457,-0.296182,-0.717223,-0.221118,0.127169,0.191011
-0.0791899,0.143904,1.64007,0.29171,-0.188138,-0.856311,-0.239551,0.134939,0.1993
-0.0784965,0.150768,1.62211,0.243629,0.00248026,-0.969637,-0.213077,0.143132,0.238587
-0.0738159,0.156113,1.60232,0.133685,0.130483,-1.02104,-0.160379,0.142952,0.32365
-0.0683229,0.159175,1.58181,0.0393097,0.0716611,-1.02259,-0.117988,0.132488,0.396401
-0.0652961,0.16102,1.56146,0.0242524,-0.101663,-0.997832,-0.0797593,0.118546,0.429388
-0.0661997,0.163239,1.54184,0.0757136,-0.304334,-0.95028,-0.0537465,0.110253,0.429064
